"name","address","www","email","phone","rector","sun","week","fest","url"
"Parafia pw. Najświętszego Serca Pana Jezusa","62-005 Bolechowo, ul. Szkolna 20","www.parafia-bolechowo.pl","","61 812-60-94","ks. Remigiusz  Kobusiński","8:00, 9:30, 11:30; sobota: 16:45","18:00 z wyjątkiem środy - Msza św. o 8:00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=44"
"Parafia pw. Chrystusa Króla","64-305 Bolewice","www.parafiabolewice.pl","parbolewice@idsl.pl","61 441-17-84; 723 631 118","ks. Konrad  Jędrzejczak","9:00, 11:00","18.00 - za wyjątkiem czwartku - 8.00","9:00, 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=153"
"Parafia pw. św. Mikołaja","64-000 Bonikowo, ul. Parkowa 72","","bonikowo@neostrada.pl","65 512-96-12","ks. Maciej  Wala","8.00, 11.00; Mikoszki &#8211; 9.30","18.00","18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=98"
"Parafia pw. Pocieszenia NMP","63-810 Borek Wlkp., Zdzież 1","","","65 571-65-40","ks. Daniel  Litkowski","Fara: 9:00, 18:00; Sanktuarium: 7.30, 10.00, 11.30","Fara: 9.00; Sanktuarium: 18.00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=7"
"Parafia pw. Matki Bożej Królowej Rodzin","62-023 Borówiec","www.parafiaborowiec.pl","grzegorzks@wp.pl","61 819-08-05","ks. Grzegorz  Gałkowski","8.00, 10.00, 11.30 - z udziałem dzieci, 19.00","19.00","8.00, 18.00, 20.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=106"
"Parafia pw. św. Wojciecha","64-300 Boruja Kościelna, Pl. Kościelny 2","","krystian@biblioteka.thfac.poznan.pl","61 441-13-23","ks. Krystian  Grabijas","8:00, 11:00","pon., wt., czw., pt. i sob. 18:00; śr. 8:00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=152"
"Parafia pw. św. Andrzeja Ap.","64-712 Boruszyn 53","www.parafia-boruszyn.pl","parafiawboruszynie@gmail.com","67 255-15-22","ks. Marek  Jański","9:00, 10:30, 12:00","18:00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=37"
"Parafia pw. św. Jadwigi","64-150 Wijewo, Brenno, ul. Jeziorna 1","","","65 549-40-60","ks. Kazimierz  Pachciarz","7:30, 9:35, 11:30, w wakacje także 19:30","wtorek 7:00, pozostałe dni 19:00","9:35, 15:00, 19:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=272"
"Parafia pw. św. Katarzyny","63-112 Brodnica 28","www.brodnica.archpoznan.pl","brodnica@archpoznan.pl","61 282-35-69","ks. Jerzy  Przybylski","godz. 8.00, godz. 9.30 (Szołdry), godz. 11.00","godz. 18.00, w czwartki godz. 8.00","godz. 10.00, godz. 16.00 (Szołdry), godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=360"
"Parafia pw. św. Andrzeja Ap.","64-310 Lwówek, Brody Poznańskie 130","www.brodypoznanskie.pl","grosty@archpoznan.pl","61 441-32-69","ks. Sławomir  Grośty","7:30, 9:30, 11:15, 18:30","18:30","9:30, 16:30, 18:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=194"
"Parafia pw. św. Franciszka z Asyżu","64-030 Bronikowo, ul. Morownicka 15","","","65 518-90-35","ks. Józef  Rydlewski","8:00, 10:30","18:00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=341"
"Parafia pw. św. Barbary","64-234 Przemęt, Bucz, ul. Kościelna 3","","","65 549-81-88","ks. Krzysztof  Glinkowski","8:00, 11:30; Popowo Stare 9:45","18:00; we wtorek 8:30","8:00, 18:00; Popowo Stare 16:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=340"
"Parafia pw. św. Stanisława Bpa","64-320 Buk, ul. Mury 30","http://parafiabuk.pl","parbuk@archpoznan.pl","61 814-01-41","ks. Andrzej  Szczepaniak","godz. 7.00, godz. 8.15, godz. 9.30, godz. 10.45, godz. 12.00, godz. 18.30","godz. 7.00, godz. 7.30, godz. 18.30 lub godz. 7.00, godz. 18.30, godz. 19.00","godz. 7.00, godz. 8.15, godz. 10.45, godz. 18.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=29"
"Parafia pw. św. Marcina","64-300 Nowy Tomyśl, Bukowiec","","mariusz.dudkiewicz@interia.pl","61 441-15-54","ks. Mariusz  Dudkiewicz","godz. 8.30, godz. 10.30, godz. 12.00","zimą godz. 17.30; latem godz. 18.00","według ogłoszeń parafialnych","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=67"
"Parafia pw. św. Marcina","64-141 Bukówiec Górny, ul. Powst. Wlkp. 113","","","65 537-23-11","ks. Marek  Kantecki","godz. 8.00, godz. 10.30","poniedziałek godz. 8.00, od wtorku do soboty godz. 18.00 zimą godz. 18.30 latem","godz. 9.00, godz. 18.00 zimą godz. 18.30 latem","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=271"
"Parafia pw. Niepokalanego Poczęcia NMP","64-542 Bytyń, ul. Kościelna 3a","www.parafia-bytyn.pl","parafiabytyn@gmail.com","61 291-88-08","ks. Piotr  Budasz","9:00, 11:00","pn., wt., czw., pt., sob.: 18:00; śr. 8:30","9:00, 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=193"
"Parafia pw. św. Stanisława Bpa","62-080 Ceradz Kościelny","","ceradz@o2.pl","61 814-77-06","ks. Krzysztof  Borowicz","sobota: Jankowice 16:00, Gaj Wielki 17:15, Ceradz Kościelny 18:30; niedziela: Ceradz Kościelny 8:00, 11:00, Grzebienisko 9:30","Ceradz kościelny 18:30","Gaj Wielki 16:00, Grzebienisko 17:00, Ceradz Kościelny 18:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=281"
"Parafia pw. Podwyższenia Krzyża Świętego","62-090 Rokietnica, Cerekwica, ul. Szamotulska 12","www.parafiacerekwica.pl/","","61 814-48-95","ks. Marek  Tarło-Jawtok","Cerekwica sb. 18.30, nd. godz. 8.00, godz. 11.00; Pamiątkowo - Filia sb. godz. 17.00, nd. godz 9.30","Cerekwica godz. 18.30; Pamiątkowo godz. 17.00","Cerekwica godz. 9.00, godz. 18.30; Pamiątkowo godz. 11.00, godz. 17.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=330"
"Parafia pw.  Parafia pw. św. Jakuba Większego Ap.","63-232 Cerekwica Stara","","","62 740-97-15","ks. Wojciech  Szymczak","Poręba godz. 8.00, Bruczków godz. 9.15, Cerekwica godz. 11.00","godz. 18.00","Poręba godz. 10.00, Bruczków godz. 16.00, Cerekwica godz. 18.00 (lub inne ze względu na lekcje w szkole)","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=9"
"Parafia pw. Wszystkich Świętych","62-001 Chludowo, ul. Kościelna 4","","kosmela@vp.pl","61 811-65-02","ks. Ryszard  Hoppe SVD","8:00, 9:30, 11:00","18:15","9:00, 18:15","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=183"
"Parafia pw. św. Piotra w Okowach","64-214 Chobienice 141","","","68 384-41-78","ks. Sławomir  Ratajczak","godz. 8.00, godz. 11.00; filia Nowa Wieś Zbąska godz. 9.30; w soboty godz. 17.00 i 18.00","godz. 18.00","godz. 11.00, godz. 18.00; filia godz. 16.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=405"
"Parafia pw. Miłosierdzia Bożego","63-040 Chocicza, os. 40-lecia 2/15","","parafia.chocicza@wp.pl","61 287-51-84","ks. Grzegorz  Przybysz","godz. 7.30, godz. 9.45, godz. 17,00; sobota: 17:00 (od X do III), 19:00 (od IV do IX_","od IV do IX o godz. 19.00; od X do III o godz. 17.00","godz. 9.00, godz. 17.00 (godz. 19.00)","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=173"
"Parafia pw. Chrystusa Króla","64-513 Chojno n. Wartą 74","","paw.paw.@op.pl","67 254-71-81","ks. Paweł  Pawlicki","godz. 9.00, godz. 11.00
maja-września godz. 9.00, godz. 9.45, godz. 11.00","m-ce I,II - godz. 17.00, III,IV,V godz. 18.00, VI,VII,VIII godz. 19.00, IX, X godz. 18.00, XI,XII godz. 17.00","godz. 9.00, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=397"
"Parafia pw. św. Katarzyny Sieneńskiej","64-005 Choryń 21","www.choryn.archpoznan.pl","","65 513-48-18","ks. Marian  Derkaczewski","Choryń: 7:30, 11:00; Kopaszewo: 9:30","18:30","Choryń: 10:00, 18:30; Kopaszewo: 16:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=124"
"Parafia pw. św. Wojciecha","64-412 Chrzypsko Wielkie, ul. Jeziorna 3","","zdzislawdolata@wp.pl","61 295-10-64","ks. Zdzisław  Dolata","godz. 8.00, godz. 11.15; kaplica w Charcicach godz. 9.30; kaplica w Łężeczkach godz. 11.30","godz. 7.00; środa i sobota godz. 18.00 (maj, październik)","godz. 8.00 Charcice, godz. 10.00 i godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=396"
"Parafia pw. św. Michała Archanioła","63-133 Chwałkowo Kościelne 57","","","61 284-40-51","ks. Marian  Kasperek","","","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=10"
"Parafia pw. Świętej Trójcy","63-840 Krobia, Chwałkowo. 41","","","65 571-17-69","ks. Grzegorz  Szkudlarek","sobota: godz. 18.00; niedziela: godz. 8.00, godz. 11.00","od 1.05 do 31.09 o godz. 19.00 i od 1.10 do 30.04 o godz. 18.00","godz. 9.00, godz. 18.00 a od 19.00 1.05-31.09","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=116"
"Parafia pw. św. Małgorzaty","63-200 Jarocin, Cielcza, ul. Szkolna 11","","","62 749-30-79","ks. Marian  Brdyś","8:00, 9:30, 11:00","17:00 (XI-III), 18:00 (IV-X)","8:00, 17:00 (XI-III), 18:00 (IV-X)","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=172"
"Parafia pw. św. Michała Archanioła","64-030 Śmigiel, Czacz, ul. 27 Stycznia 77","","parafiaczacz@op.pl","65 518-08-94","ks. Piotr  Markiewicz","7:30, 9:30, 11:00","18:30","9:30, 18:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=339"
"Parafia pw. św. Augustyna","61-160 Czapury, ul. Poznańska 74","www.augustynczapury.pl","augustyn.md@neostrada.pl","61 893-93-10","ks. Rafał  Nowak","9:00, 10:30, 12:00","18:00, (środa 9:00)","9:00, 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=256"
"Parafia pw. Jezusa Chrystusa Najwyższego Kapłana","64-700 Czarnków, ul. Wroniecka 57","www.wroniecka57.pl","","67 255-26-56","ks. Paweł  Morasz","godz. 18.30 (sobota) godz.7.30,godz.9.00,godz. 11.00,godz. 12.30,godz. 17.00","","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=36"
"Parafia pw. św. Marii Magdaleny","64-700 Czarnków, ul. Kościelna 1","www.mariamagdalena.czarnkow.pl","parafia.mm@neostrada.pl","67 255-25-18","ks. Krzysztof  Sobkowiak","godz. 18.30 (sobota) godz. 7.30, godz. 9.30, godz. 11.00, godz. 12.30, godz. 18.00 Romanowo Dolne godz.9.00","","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=35"
"Parafia pw. św. Michała Archanioła","64-020 Czempiń, ul. Kościelna 1","www.parafia-czempin.pl","","61 282-65-73","ks. Andrzej  Wojciechowski","8.00, 10.00, 11.30, 18.00; Borowo 8.45; Gorzyczki 9.30","7.00, 18.00","8.00, 10.00, 18.00; Borowo 19.00; Gorzyczki 16.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=97"
"Parafia pw. NMP Wniebowziętej","63-005 Czerlejno, ul. Kostrzyńska 1","","xas@archpoznan.pl","61 814-85-83","ks. Andrzej  Stefański","godz. 8.30, godz. 9.45, godz. 11.00","godz. 18.00","godz. 8.30, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=86"
"Parafia pw. św. Idziego","64-010 Krzywiń, Czerwona Wieś 5","","","65 517-05-76","ks. Marek  Jankowski","7:30, 11:00; Jurkowo 9:00","18:00","9:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=123"
"Parafia pw. Niepokalanego Serca NMP","62-004 Czerwonak, ul. Świerkowa 2","http://parafia.czerwonak.eu","","61 811-10-04","ks. Wojciech  Murkowski","8:00, 10:00, 11:30, 17:00","18:00","18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=43"
"Parafia pw. św. Katarzyny P.M.","64-330 Opalenica, Dakowy Mokre, ul. Kościelna 2","","","61 447-67-50","ks. Jerzy  Sułkowski","8:00, 9:00, 10:30","18:30","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=28"
"Parafia pw. św. Wojciecha","63-100 Śrem, Dalewo 67","","","61 281-67-60","ks. Dariusz  Dogondke","8:00, 11:00","18:30 - czas letni, 18:00 - czas zimowy","11:00, 18:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=122"
"Parafia pw.św. Katarzyny Dz. M.","64-130 Rydzyna, Dąbcze 46","","","65 538-07-91","ks. Wojciech  Mądry","godz. 7.30, godz. 9.00(Nowa Wieś), godz. 10.30","godz. 18.00","godz. 9.30, godz. 16.00, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=301"
"Parafia pw. św. Urszuli Ledóchowskiej","62-070 Dopiewo, Dąbrówka, Malinowa 50","www.dabrowkaparafia.pl","kgorawski@op.pl","+48 602-500-442","ks. Karol  Górawski","8.30, 10.00, 11.30, 12.45 ( z wyjątkiem lipca i sierpnia), 18.30","18.30","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=1209"
"Parafia pw. Wniebowzięcia NMP","63-040 Dębno","www.parafia.debnonw.pl","debnonw@neostrada.pl","61 287-41-59","ks. Jacek  Toś","Dębno godz. 8.00, godz. 12.00; Chrzan godz. 10.00","Dębno: wt. godz. 8.00, czw. godz. 18.00, sob. godz. 18.00; Chrzan: pon., śr., pt., o godz. 18.00","Dębno: godz. 10.00, godz. 18.00; Chrzan: godz. 16.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=171"
"Parafia pw. św. Marcina","64-100 Długie Stare, ul. Wiosenna 2","","","65 533-82-80","ks. Ireneusz  Rachwalski","","","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=372"
"Parafia pw. św. Jakuba Większego Ap.","64-140 Dłużyna","","","65 537-00-50","ks. Leszek  Grzelak","sobota godz. 17.00, niedziela godz. 7.00, godz. 9.00, godz. 11.00","godz. 7.00, godz. 18.00","godz. 7.00, godz. 9.00 lub (godz. 11.00), godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=270"
"Parafia pw. św. Michała Archanioła","63-140 Dolsk, ul. Kościelna 1","www.parafia.dolsk.info.pl","","61 282-55-13","ks. Tomasz  Buliński","8:00, 10:00, 12:00","18:00 z wyjątkiem poniedziałku i piątku; 7:30 - Kościół Św. Ducha","według ogłoszeń parafialnych dostępnych na","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=359"
"Parafia pw. św. Michała Archanioła","63-804 Domachowo","http://parafia-domachowo.pl","","65 571-42-23","ks. Paweł  Minta","godz. 9.00, godz. 11.00","godz. 18.00 od poniedziałku do piątku; godz. 17.00 w sobotę","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=56"
"Parafia pw. Nawiedzenia NMP","62-070 Dopiewo, ul. Poznańska 18","","dopiewo@archpoznan.pl","61 814-80-29","ks. Marek  Kina","godz.8:30, godz. 10.30, godz. 18.00","poniedziałek godz. 9.00, wtorek &#8211; sobota godz. 18.00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=27"
"Parafia pw. Najświętszego Serca Pana Jezusa","64-733 Drawsko, ul. Kościelna 4","","","67 256-90-10","ks. Piotr  Matuszewski","Drawsko godz. 7.45, godz. 9.30, cmentarz lato godz. 17.00, zima godz. 15.00, Drawski Młyn godz. 9.00, godz. 11.00","Drawsko zima godz. 18.00, lato godz. 19.00; Drawsko Młyn zima godz. 17.00, lato godz. 18.00","Drawsko godz. 8.00, godz. 18.00, Drawski Młyn godz. 17.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=378"
"Parafia pw. Najświętszego Serca Jezusa","64-120 Krzemieniewo, Drobnin 35","","drobnin@archpoznan.pl","65 529-75-30","ks. Stanisław  Pietraszek","8:00, 11:00; Garzyn: 9:30","18:00","11:00, 18:00; Garzyn: 17:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=300"
"Parafia pw. NMP Wniebowziętej","64-113 Drzeczkowo","","mareksmolski1@wp.pl","65 535-06-33","ks. Włodzimierz  Lisek","Drzeczkowo godz. 7.30, godz. 11.00, Popowo Wonieskie godz. 9.15","latem godz. 18.30, zimą godz. 17.30","Zimą Popowo godz. 16.00, Drzeczkowo godz. 17.30, Latem Popowo godz. 16.30, Drzeczkowo godz. 18.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=299"
"Parafia pw. św. Mikołaja Bpa","63-931 Dubin","","","65 547-17-77","ks. Stanisław  Matuszczak","godz. 8.00, godz. 10.30, godz. 12.00 DPS-Osiek","we wtorek i czwartek godz. 7.30,  w pozostałe dni godz. 18.00","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=76"
"Parafia pw. św. Marcina","64-550 Duszniki Wlkp., ul. Jana Pawła II 114","","gresbor@wp.pl","61 291-93-28","ks. Sergiusz  Borszczow","godz. 8.00, godz. 10.30, godz. 18.00","godz. 18.00","godz. 9.00, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=192"
"Parafia pw. św. Andrzeja Boboli","64-708 Gębice, ul. Poznańska 33","","huta@archpoznan.pl","67 255-13-79","ks. Sławomir  Wasiela","","","godz. 16.30, godz.18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=34"
"Parafia pw. Wniebowzięcia NMP","63-012 Dominowo, Giecz, ul. Centralna 1","","parafiadominowo@wp.pl","61 285-92-76","","Giecz godz. 8.00; Dominowo sobota godz. 18.00, niedziela godz. 10.00","Giecz czwartek godz. 16.00; Dominowo od wtorku godz. 18.00","godz. 11.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=85"
"Parafia pw. św. Katarzyny","62-020 Głuchowo,Plac Ojca Świętego Jana Pawła II 2","","","61 282-34-23","ks. Józef  Wachowiak","godz. 8.00, godz. 11.00; w kaplicy w Jarogniewicach godz. 16.00","godz. 18.00; w kaplicy w Jarogniewicach w środę godz. 16.00","godz. 9.00, godz. 18.00 w kaplicy w Jarogniewicach godz. 16.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=311"
"Parafia pw. Podwyższenia Krzyża Świetego","Gogolewo","","","61 282-25-72","","9:15","nie ma","16:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=170"
"Parafia pw. Wszystkich Świętych","63-921 Golejewko 1","","","65 547-87-14","ks. Stanisław  Czubak","sobota godz. 18:00; niedziela: 8:00, 10:30","pn., śr., pt., sb.: 18:00; wt., czw.: 8:00","9:00, 16:00, 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=75"
"Parafia pw. św. Ap. Piotra i Pawła","64-117 Gołanice, ul. Parkowa 19","","","65 533-15-78","ks. Andrzej  Pajzderski","7.30 i 11.00","poniedziałek, środa i piątek - 18.00","18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=371"
"Parafia pw. św. Mikołaja","64-111 Goniembice 33","","konolejnik@archpoznan.pl","65 534-01-02","ks. Konrad  Olejnik","8:00, 11:00; Klonówiec 9:30","18:00 - czas letni, 17:00 - czas zimowy","9:00 i 18:00 - czas letni, 9:00 i 17:00 - czas zimowy","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=298"
"Parafia pw. Błogosławionego Edmunda Bojanowskiego","63-800 Gostyń, Ks. Jana Twardowskiego 8-10","www.ebojanowski.pl","przemac@archpoznan.pl","65 575-18-99","ks. Przemysław  Maciejewski","godz. 7.30, godz. 9.00, godz. 11.00","godz. 18.00","godz. 7.30, godz. 17.00, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=55"
"Parafia pw.Ducha Świętego i Najświętszego Serca Pana Jezusa","63-800 Gostyń, ul. Wrocławska 255","","","65 572-09-11","ks. Tadeusz  Murawski","godz. 7.00, godz. 8.15, godz. 10.00, godz. 11.30, godz. 17.00, w kaplicy w Czachorowie godz. 10.30","godz. 7.30, godz. 18.00","godz. 7.30, godz. 10.00, godz. 17.00, godz.  18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=54"
"Parafia pw. Najświętszej Maryi Panny Świętogórskiej","63-800 Gostyń Świeta Góra, Głogówko 1","www.filipini.gostyn.pl","sanktuarium@filipini.gostyn.pl","65 572-00-14","ks. Dariusz  Dąbrowski COr","godz. 7.30, godz. 9.00, godz. 10.30, godz. 12.00, godz. 15.00, godz. 17.00","godz. 6.30, godz. 7.00, godz. 8.00, godz. 19.00","godz. 7.30, godz. 9.00, godz. 10.30, godz. 12.00, godz. 17.00, godz. 19.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=53"
"Parafia pw. św. Małgorzaty","63-800 Gostyń, ul. Przy Farze 2","http://faragostyn.archpoznan.pl","malgos@archpoznan.pl","65 572-00-40","ks. Krzysztof  Młynarczyk","sobota godz. 17.00; godz. 6.30, godz. 8.00, godz. 9.30, godz. 11.00, godz. 12.30, godz. 15.00, godz. 18.30","godz. 6.30, godz. 8.00, godz. 18.30","godz. 6.30, godz. 8.00, godz. 9.30, godz. 11.00, godz. 17.00, godz. 18.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=52"
"Parafia pw. św. Stanisława Bpa","64-200 Gościeszyn 18","","parafia_goscieszyn@poczta.fm","68 384-33-24","ks. Andrzej  Szczepański","8:00; 9:30, 11:00","18:00","10:00, 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=390"
"Parafia pw. Wniebowzięcia NMP","63-231 Góra k. Jarocina, ul. Dworcowa 9","","","62 740-90-16","ks. Henryk  Kondratowicz","","","godz. 8.00, godz. 9.30, godz. 17.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=18"
"Parafia pw. Matki Boskiej Pocieszenia i św. Michała Arch.","64-111 Lipno k/Leszna, Górka Duchowna 47","www.gorkaduchowna.archpoznan.pl","gorkambp@archpoznan.pl","65 534-02-04","ks. Piotr  Bartkowiak","8:00, 10.30; sobota: 18:30-latem, 18:00-zimą","18:30-latem, 18:00-zimą, w I czwartek miesiąca Msza św. jest wieczorem, a w pozostałe czwartki 8:00","9:00, 18:30-latem, 18:00-zimą","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=338"
