"name","address","www","email","phone","rector","sun","week","url"
"Parafia Świętej Rodziny","58-407 Chełmsko Śl., ul. Powstańców Śl. 2","","","75/7422180","KOWALSKI Stanisław","8:00, 12:00, 16:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100393"
"Parafia św. Mikołaja","Chmieleń  74, 59-623 Lubomierz","","","75/7833192","BAJAK Szymon","10:30","(czwartek) 17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100472"
"Parafia św. Piotra i Pawła","Chobienia, ul. Krzywa 8, 59-305 Rudna","","parafia.chmielen@interia.pl","76/8439515","KOWALSKI Leszek","8:30, 11:00, 12:00","16:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100382"
"Parafia Narodzenia NMP","Chocianowiec, ul. Al. bł. Jana Pawła II 113, 59-140 Chocianów ","","","76/8175062","DANIEL Jan","9:00, 11:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100295"
"Parafia Wniebowzięcia NMP","59-140 Chocianów, ul. Głogowska 2","","","76/8185038","SZYMEROWSKI Zbigniew","7:00, 8:30, 10:00, 11:30, 13:00, 18:00","6:30, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100296"
"Parafia Niepokalanego Poczęcia NMP","59-225 Chojnów, ul. Dąbrowskiego 19","","","76/8187096","MAKOWSKI Mirosław","6:30, 13:00","18:00 (sobota 9:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100306"
"Parafia Świętych Apostołów Piotra i Pawła","59-225 Chojnów, ul. ks. Ściegiennego  4","parafia-chojnow.pl/","","76/8187092","OSMULSKI Marek","8:00, 9:15, 11:00, 12:00, 16:00, 18:00","6:30, 7:00, 7:30, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100307"
"Parafia Matki Bożej Bolesnej","Chróstnik  86a, 59-311 Krzeczyn Wielki","","","76/8448086","RAPACZ Kazimierz","8:00, 12:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100565"
"Parafia św. Augustyna","Ciechanowice  29, 58-410 Marciszów","www.parafiachrostnik.pl","","75/7410279","SOLECKI Ludwik","8:30, 12:00","17:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100386"
"Parafia Najświętszego Serca Pana Jezusa","58-379 Czarny Bór, ul. 30-lecia PRL 4","","","74/8450130","OSKWAREK Paweł","7:30, 12:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100387"
"Parafia św. Michała Archanioła","Czernica  114, 58-521 Jeżów Sudecki","podborem.o12.pl/news.php","","75/7132216","PĘDZIWIATR Zbigniew","9:00, 12:00","18:00, (sobota 8:00) (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100366"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","Czerwona Woda, ul. Kościuszki 2a, 59-940 Węgliniec","parafiaczernica.jgora.net","parafiaczernica@onet.pl","75/7780311","PANOŃKO Mieczysław","8:00, 11:30 (porządek zimowy: 9:00, 11:30)","19:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100576"
"Parafia Chrystusa Króla","Dłużyce  16, 59-330 Ścinawa","www.parafiaczerwonawoda.pl","parafiaczerwonawoda@o2.pl","76/8435852","JANICKI Andrzej","11:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100376"
"Parafia Chrystusa Króla","Dłużyna Dolna  67, 59-930 Pieńsk","","","75/7718477","PŁAZA Andrzej","9:00, 11:00","7:00, 17:00 (porządek zimowy: 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100577"
"Parafia św. Bartłomieja","Działoszyn  30, 59-916 Bogatynia 3","","","kom. 781668270","KULPA Ryszard","9:30, 11:00","7:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100281"
"Parafia św. Wawrzyńca","Dziwiszów  37, 58-508 Jelenia Góra 14","","dz.bart@interia.pl","75/6105506","SŁOTWIŃSKI Krzysztof","9:30, 12:15","(sobota 19:00) (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=101205"
"Parafia św. Michała Archanioła","Giebułtów  138, 59-630 Mirsk","parafia-dziwiszów.eu","parafia.dziwiszow2007@gmail.com","75/7834664","MACHA Werner","8:00, 11:00","7:00, 18:00 (porządek zimowy: 8:00, 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100314"
"Parafia św. Antoniego","Gierałtów  48, 59-730 Nowogrodziec","www.par-michal.legnica.opoka.org.pl/","parafia.giebultow@wp.pl","75/7368290","MODRZYŃSKI Franciszek","9:30, 11:00","7:30, 17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100509"
"Parafia Świętej Rodziny","Gostków, ul. Główna 58, 58-312 Stare Bogaczowice","","","74/8452291","WILCZYŃSKI Andrzej","9:00, 10:30, 12:30","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100388"
"Parafia Matki Bożej Częstochowskiej","Gościszów  150, 59-730 Nowogrodziec","","","75/7367722","JERIE Ryszard","8:00, 11:00 (porzadek zimowy: 8:00, 12:00)","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100504"
"Parafia św. Antoniego","Grabiszyce  5, 59-820 Leśna","","","75/7211231","KUNDZICZ Mirosław","9:00, 12:00","17:00 (porządek zimowy: 16.30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100424"
"Parafia Matki Bożej Częstochowskiej","59-706 Gromadka, ul. Słowackiego 1","","mkundzicz@wp.pl","75/7382336","ADAMOWICZ Józef","7:30, 11:30","17:30","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100276"
"Parafia Imienia Najświętszej Maryi Panny","Grudza  50, 59-630 Mirsk","","","75/7839139","KOCJAN Robert","9:00, 10:30, 12:00","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100315"
"Parafia św. Jadwigi Śląskiej","59-620 Gryfów Śląski, pl. Kościelny 9","","","75/7813253","KURZEJA Krzysztof","7:00, 9:00, 10:30, 12:00, 13:15 (w ostatnią niedzielę miesiąca 18:00)","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100316"
"Parafia Matki Bożej Szkaplerznej","Grzymalin  ,   -    ","","parafiajg@wp.pl","","","8:30, 11:00","7:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100308"
"Parafia św. Urszuli","Gwizdanów  33, 59-305 Rudna","","","76/8434144","KORAB Kazimierz","8:00, 12:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100519"
"Parafia św. Mikołaja","Henryków Lubański  392, 59-800 Lubań","","","75/7217555","WOJCIESZEK Piotr","9.00, 12.00","18.00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100431"
"Parafia Chrystusa Króla","58-520 Janowice Wielkie, ul. Partyzantów 5","","henrykow-lubanski@diecezja.legnica.pl","75/7515268","SUSKA Piotr","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100358"
"Parafia Matki Bożej Różańcowej","59-400 Jawor, ul. Jana Pawła II 4","","","76/8706974","HAWRYLEWICZ Waldemar","8:00, 10:00, 12:00, 19:00","19:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100323"
"Parafia Miłosierdzia Bożego","59-400 Jawor, ul. Starojaworska 10 b","","","76/8704804","CZERNIK Tomasz","7:00, 8:15, 9:30, 11:00, 12:15, 14:00, 18:00, 20:30 (porządek zimowy: 7:00, 8:15, 9:30, 11:00, 12:15, 14:00, 18:00)","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100324"
"Parafia św. Marcina","59-400 Jawor, ul. św. Marcina 1","","","76/8703170","DRAPIEWSKI Dominik","7:00, 8:30, 9:45, 11:00, 12:15, 18:00","6:30, 7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100351"
"Parafia św. Brata Alberta","59-400 Jawor, ul. Starojaworska 73","parafiamarcin.pl","","kom. 601536198","PAWLAK Grzegorz","9:00, 10:30","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=101128"
"Parafia Podwyższenia Krzyża Świętego (Świętego Krzyża)","58-500 Jelenia Góra, ul. 1 Maja 45","","","kom. 730814757","BOKIEJ Andrzej","7:00, 8:30, 10:00, 11:30, 13:00, 18:00, 20:00 (porządek zimowy: 7:00, 8:30, 10:,00, 11:30, 13:00, 16:00, 18:00, 20:00)","7:00, 7:30, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100359"
"Parafia św. Jana Apostoła i Ewangelisty","58-506 Jelenia Góra, Pl. św. Jana Ewangelisty 1","www.kosciolgarnizonowy.pl/","krzyz_jg@legnica.opoka.org.pl","75/7542412","KOWALCZYK Krzysztof","8:00, 9:30,11:00, 12:30, 18:00","7:00, 18:00,","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100360"
"Parafia św. Judy Tadeusza","58-500 Jelenia Góra, ul. Czarnoleska 2","","","75/6421585","GNIATCZYK Jerzy","9:00, 11:00, 12:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100361"
"Parafia Św. Piotra i Pawła Apostołów","58-506 Jelenia Góra, ul. Wrocławska 58","www.juda.legnica.opoka.org.pl/","","kom. 503772631","KRZYSTEK Grzegorz","8:00, 11:00","18:00 (porządek zimowy: 17:00 )","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100362"
"Parafia św. Wojciecha","58-506 Jelenia Góra, ul. Moniuszki 12","www.piotripawel.pbox.pl","","75/7644878","BAKES Stanisław","7:00, 8:30, 10:00, 11:30, 13:00, 18:00","6:30, 7:00, 18:00,","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100363"
"Parafia Matki Boskiej Królowej Polski  i  św. Franciszka z Asyżu","58-500 Jelenia Góra, ul. Morcinka 8a","wojciech.jgora.pl","wojciech@wojciech.jgora.pl","75/7678996","NIWCZYK Grzegorz","7:30, 8:30, 10:30, 12:00, 17:00","7:30, 17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100369"
"Parafia św. Erazma i Pankracego","58-500 Jelenia Góra, pl. Kościelny 1-2","","","75/7522160","ŻYGADŁO Bogdan","7:30, 9:00, 10:30, 12:00, 13:15, 16:00, 18:00 (w lipcu i sierpniu nie ma Mszy św. o godz. 16:00), w kościele pomocniczym św. Anny ( co drugą niedzielę dla głuchoniemych 14:00)","6:30, 7:00, 7:30, 18:00 (w Adwencie 17:00), w kościele pomocniczym św. Anny (sobota 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100371"
"Parafia Matki Bożej Miłosierdzia","58-560 Jelenia Góra, ul. PCK 23","www.parafia.jelenia-gora.pl/","","75/7551777","STEC Józef","7:00, 9:00, 11:00, 12:30, 16:00, 18:00 w Domu Starców 7:45","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100370"
"Parafia św. Jana Chrzciciela","58-560 Jelenia Góra - Cieplice, ul. Cieplicka 9","parafiambm.jgora.pl/","","75/6428810","WOJDA Stefan","7:00, 8:30, 10:00, 11:30, 13:00, 15:00, 19:00","7:00, 8:00, 19:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100372"
"Parafia Miłosierdzia Bożego","Jagniątków, ul. Saneczkowa 1, 58-570 Jelenia Góra - Jagniątków","www.cieplice.pijarzy.pl/en/","parafiacieplice@gmail.com","75/7554161","KOWALCZUK Dariusz","8:00, 12:00","(poniedziałek, środa, piątek, sobota) 18:00 (wtorek, czwartek) 7:00 (porządek zimowy: worek, czwartek) 8:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100543"
"Parafia św. Marcina","58-570 Jelenia Góra - Sobieszów, ul. Cieplicka 219","www.jagniatkow.xt.pl/","jagniatkow@wp.pl","75/7553410","LASEK Adam","7:00, 9:00, 10:30, 12:00, 18:00 (porządek zimowy: 7:00, 9:00, 10:30, 12:00, 18:00), w kościele pw. św. Marcina 9:00","7:00, 18:00 (porządek zimowy: 7:00, 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100544"
"Parafia św. Franciszka z Asyżu","Jerzmanki  42, 59-900 Zgorzelec","parafiasobieszow.pl","","75/7781148","DERECZENIK Janusz","10:00, 11:30","(poniedziałek, wrtorek, środa) 18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100584"
"Parafia św. Michała Archanioła","58-521 Jeżów Sudecki, ul. Boczna 6","","","75/7132253","SZARZYŃSKI Andrzej","8:00, 10:00","18:00 (sobota) 17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100367"
"Parafia Narodzenia NMP","Jędrzychowice  9, 59-900 Zgorzelec","","","75/7782218","ZYGMUNT Tomasz","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100585"
"Parafia św. Bartłomieja","Jędrzychów  45, 59-101 Polkowice","","","76/8459838","","9:00 i 11:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100520"
"Parafia św. Apostołów Piotra i Pawła","58-400 Kamienna Góra, ul. K. Miarki 31","www.parafiawjedrzychowie.polkowice.pl","","75/7442115","BIGOS Edward","7:30, 9:00, 10:30, 12:00, 18:00 (porządek: 17:00)","(sobota) 9:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100389"
"Parafia Matki Bożej Różańcowej","58-400 Kamienna Góra, pl. Kościelny 2","","","75/8418844","","11:00","(zależnie od pory roku) od 15.30 do 18.00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100394"
"Parafia Najświętszego Serca Pana Jezusa","58-400 Kamienna Góra, ul. Wałbrzyska 27","www.parafiambrkg.jimdo.com","sacricco@gmail.com","75/7445467","SIEMIŃSKI Aleksander","7:00, 10:15, 11:30, 18:00 (w lipcu i sierpniu nie ma mszy o 10:15)","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100395"
"Parafia Nawiedzenia  Najświętszej Maryi Panny","58-540 Karpacz, ul. Konstytucji 3 Maja 44","","","75/7619556","STOŃ Zenon","7:30, 9:00, 10:30, 12:00 (w roku szkolnym 13:00, 17:00, 19:00)","7:00, 9:00, 19:00 (porządek zimowy: 7:00, 9:00, 19:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100482"
"Parafia św. Jadwigi Śląskiej","Karpniki, ul. Kościelna 1, 58-533 Mysłakowice","","","75/7137295","KOŚCIK Ireneusz","9:00, 11:00","7:00 (środa, piątek 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100483"
"Parafia św. Wojciecha","Kawice  34 A, 59-230 Prochowice","","","76/8584776","MANIA Paweł","8:30, 12:00","7:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100569"
"Parafia św. Antoniego Padewskiego","Kopaniec  27a, 58-512 Stara Kamienica","","","75/7693617","GROCKI Andrzej","12:00","(piątek, sobota) 18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100545"
"Parafia św. Piotra i Pawła","Kosiska, Pl. Jana Pawła II 1, 59-430 Wądroże Wielkie","","parafia.sw.antoniego.Kopaniec@neostrada.pl","76/8574543","BISZCZANIK Daniel","12:00","8:30, 18:00 (porządek zimowy: 16:00).","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100570"
"Parafia św. Michała Archanioła","Koskowice  40, 59-241 Legnickie Pole","","","76/8664018","PŁAWIAK Andrzej","11:00","(poniedziałek, wtorek, piątek, sobota) 18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100400"
"Parafia Ścięcia św. Jana Chrzciciela","Kościelnik  37, 59-800 Lubań","parafiakoskowice.eu/","poczta@parafiakoskowice.eu","75/7224245","MISIEWICZ Czesław","8:00, 10:00, 12:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100425"
"Parafia św. Mikołaja i Matki Bożej Śnieżnej","Kotliska  25, 59-600 Lwówek Śląski","","","kom. 206565","TOBERA Remigiusz","8:00, 9:30","17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100508"
"Parafia Imienia  Najświętszej Maryi Panny","58-530 Kowary, pl. Franciszkański 1","parafiakotliska.pl","parafiakotliska@interia.pl","75/7182350","TOMASZEWSKI Ignacy","7:30, 9:00, 10:30, 12:00, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100484"
"Parafia Najświętszego  Zbawiciela","Kraśnik Dolny  40, 59-700 Bolesławiec","kowary.franciszkanie.pl","kowary@franciszkanie.pl","75/7369992","BORECKI Roman","10:45","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100274"
"Parafia Wniebowzięcia NMP","59-223 Krotoszyce, ul. Piastowska 29 A","","","76/8878420","BURDZIAK Andrzej","8:00, 11:30, 13:00, 17:00","(poniedziałek, sobota) 8:00, (pozostałe dni) 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100408"
"Parafia św. Jana Chrzciciela","Kruszyn, ul. Świętojańska 15, 59-700 Bolesławiec","","","75/7321414","MACIAK Ludwik","8:00, 12:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100268"
"Parafia Wniebowzięcia NMP - Bazylika Mniejsza","58-405 Krzeszów, pl. Jana Pawła II 1","www.kruszyn.com/","proboszcz@kruszyn.com","75/7423592","KOPKO Marian","9:00","(piatek) 16:30 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100390"
"Parafia św. Jana Chrzciciela","Krzewina  70 a, 59-916 Bogatynia 3","www.opactwo.eu","obsluga.pielgrzyma@gmail.com","75/7718990","PODOLSKI Marian","8:00, 10:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100282"
"Parafia Najświętszego Serca Pana Jezusa","59-216 Kunice , ul. Gwarna 6","","","76/8575484","BIAŁEK Andrzej","8:30, 10:00, Spalona: 11:30, 18:00","18:00 (w okresie jesienno-zimowym: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100571"
"Parafia Matki Bożej Królowej Polski","59-220 Legnica, Pl. Kard. Stefana Wyszyńskiego 1","kunice.diecezjalegnica.pl/","par.kunice@wp.pl","76/7244360","WOŁOWSKI Ryszard","7:30, 9:00, 10:30, 12:00, 15:00, 18:00","6:30, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100401"
"Parafia Najświętszego Serca Pana Jezusa","59-220 Legnica, ul. Sikorskiego 1","www.mbkp.com.pl/","","76/8550595","GACEK Jan","7:00, 8:30, 10:00, 11:15, 12:30, 15:00, 17:00, 20:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100402"
"Parafia Podwyższenia Krzyża Świętego","59-220 Legnica, ul. Gen. Władysława Sikorskiego  12","nspj.legnica.pl","parafia.nspj@op.pl","76/8547284","RACZAK Roman","8:00, 9:15, 10:30, 11:45, 13:00, 18:00, 20:00, (porządek zimowy: 8:00, 9:15, 10:30, 11:45, 13:00, 16:30, 18:00)","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100403"
"Parafia św. Joachima i Anny","59-220 Legnica, ul. Rzeczypospolitej 135","","","76/7244390","ZIEJA Marian","8:00, 10:30, 12:00, 19:00 (porządek zimowy: 8:00, 10:30, 12:00, 17:00)","19:00 (wtorek 8:00) (porządek zimowy: 17:00, wtorek 8:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100404"
"Parafia św. Wojciecha","59-220 Legnica, ul. Radosna 21","","marian@joachim-anna.pl","76/8541053","BOROWSKI Józef","8:00, 10:00, 11:30, 18:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100405"
"Parafia Świętej Trójcy","59-220 Legnica, ul. II Armii WP 33","","","76/8544520","TRACZ Andrzej","7:30, 9:00, 10:30, 12:00, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100406"
"Parafia Matki Bożej Częstochowskiej","59-220 Legnica, ul. Tulipanowa 1a","www.trojca.legnica.pl","","76/8506180","DZIEWULSKI Jan","8:00, 11:30, 13:00, 17:00","(poniedziałek, sobota) 8:00, (pozostałe dni) 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100409"
"Parafia św. Tadeusza Apostoła","59-220 Legnica, ul. Artyleryjska 38","mbc.legnica.pl","kancelaria@mbc.legnica.pl","76/7220520","ARASZCZUK Stanisław","8:00, 9:30, 11:00, 12:15, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100410"
"Parafia św. Jadwigi Śląskiej","59-220 Legnica, ul. Grabskiego  15","www.swtadeusz.eu/","legnica.zach@diecezja.legnica.pl","76/7244339","WALENDZIK Wiesław","","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100413"
"Parafia św. Jacka","59-220 Legnica, ul. Nadbrzeżna  3","www.jadwigalegnica.pl","xww@op.pl","76/8547449","ZIOMBRA Andrzej","8.00, 10.30, 12.00, 18.00 (porządek zimowy: 8:00, 10:30, 12:00, 17:00)","7:00, 18.00, (sobota) 9.00, 18.00, (porządek zimowy: 7:00, 17:00, sobota: 7:00, 9:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100414"
