"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url","about"
"Kościół parafialny pw Niep. Serca NMP","","Krzywin","ul. Królewiecka 37, 74-121 KRZYWIN GRYFIŃSKI","","","91/416-75-10"," Jan  Karwath","8:00,, 13:00,","Pn. 17:00, zima, 18.00, latem; Wt. 17:00,; Śr. 17:00,; Cz. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.08941,14.46187","http://szczecin.kuria.pl/wspolnoty/koscioly/Krzywin-Kosciol-parafialny-pw-Niep-Serca-NMP_15","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k18_30.jpg"
"Kunowo Kościół filialny pw Św. Wojciecha","","Kunowo","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","12:15,","Cz. 17:00,; ","","53.14221425,14.7048139","http://szczecin.kuria.pl/wspolnoty/koscioly/Kunowo-Kosciol-filialny-pw-Sw-Wojciecha_7","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/PICT5762.jpg"
"Kościół parafialny pw Chrystusa Króla","","Lubanowo","74-111 LUBANOWO 44","","","91/416-67-77"," Wiesław  Łuczko","8:30,, 12:00,","Śr. 17:00,; So. 16:00, - zimą, 17:00, - latem; ","","53.1299,14.6125","http://szczecin.kuria.pl/wspolnoty/koscioly/Lubanowo-Kosciol-parafialny-pw-Chrystusa-Krola_20","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/l02_49.jpg"
"Kościół parafialny pw św. Judy Tadeusza","","Lubicz","74-120 WIDUCHOWA","","robg5@interia.pl","91/416-71-52, kom. 608 59 53 55"," Robert  Gołębiowski","12:30,","Pn. 16:00,; Wt. 16:00,; Pt. 16:00,; So. 9:00,; ","","53.123,14.48075","http://szczecin.kuria.pl/wspolnoty/koscioly/Lubicz-Kosciol-parafialny-pw-sw-Judy-Tadeusza_23","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/kosciol_lubicz.jpg"
"Łozice Kościół filialny","","Łozice","74-204 KOZIELICE","","","91/563-03-81"," Władysław  Kołtowski","","Wt. 17:00, - zimą, 18:00, - latem (liturgia niedzielna); ","","53.12519,14.79","http://szczecin.kuria.pl/wspolnoty/koscioly/Lozice-Kosciol-filialny-_12","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k13_l31.jpg"
"Pacholęta Kościół filialny pw św. Jana Chrzciciela","","Pacholęta","74-120 WIDUCHOWA","","robg5@interia.pl","91/416-71-52, kom. 608 59 53 55"," Robert  Gołębiowski","09:00,","Śr. 16:00,; ","","53.16136,14.48452","http://szczecin.kuria.pl/wspolnoty/koscioly/Pacholeta-Kosciol-filialny-pw-sw-Jana-Chrzciciela_24","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/koc_w_pacholtach.jpg"
"Parnica Kościół filialny","","Parnica","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","11:00,","Śr. 16:00,; ","","53.11796492,14.72484469","http://szczecin.kuria.pl/wspolnoty/koscioly/Parnica-Kosciol-filialny-_6","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/banie_kosciol.jpg"
"Piaseczno Kościół filialny pw M.B. Różańcowej","","Piaseczno","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","10:00,","Pt. 17:00,; ","","53.06094739,14.69966412","http://szczecin.kuria.pl/wspolnoty/koscioly/Piaseczno-Kosciol-filialny-pw-MB-Rozancowej_3","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b01_p50.jpg"
"Rokity Kościół filialny","","Rokity","74-204 KOZIELICE","","","91/563-03-81"," Władysław  Kołtowski","","So. 19:00,; ","","53.13013,14.82999","http://szczecin.kuria.pl/wspolnoty/koscioly/Rokity-Kosciol-filialny-_14","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k13_m26.jpg"
"Różnowo Kościół filialny","","Różnowo","74-111 LUBANOWO 44","","","91/416-67-77"," Wiesław  Łuczko","09:30,","Cz. 18.00,; ","","53.16376,14.59297","http://szczecin.kuria.pl/wspolnoty/koscioly/Roznowo-Kosciol-filialny-_21","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/l02_r14.jpg"
"Rynica Kościół filialny","","Rynica","ul. Królewiecka 37, 74-121 KRZYWIN GRYFIŃSKI","","","91/416-75-10"," Jan  Karwath","10:00,","Wt. 17:00,; ","","53.05832,14.42646","http://szczecin.kuria.pl/wspolnoty/koscioly/Rynica-Kosciol-filialny-_19","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k18_r09.jpg"
"Sosnowo Kościół filialny","","Sosnowo","74-111 LUBANOWO 44","","","91/416-67-77"," Wiesław  Łuczko","10:30,","Cz. 17:00,; ","","53.14293,14.65207","http://szczecin.kuria.pl/wspolnoty/koscioly/Sosnowo-Kosciol-filialny-_22","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/l02_s34.jpg"
"Strzelczyn Kościół filialny","","Strzelczyn","74-500 CHOJNA","","","91/414-77-48"," Daniel  Klich","11:15,","Śr. 18:00,; ","","53.00708,14.51826","http://szczecin.kuria.pl/wspolnoty/koscioly/Strzelczyn-Kosciol-filialny-_10","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g16_s43.jpg"
"Kościół parafialny pw św. Kazimierza","","Swobnica","74-110 BANIE","","","91/416-68-25"," Stanisław  Kąkol","10:45,","Pn. 17:00,; Wt. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.04029,14.6237","http://szczecin.kuria.pl/wspolnoty/koscioly/Swobnica-Kosciol-parafialny-pw-sw-Kazimierza_28","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s17_47.jpg"
"Kościół parafialny pw MB Królowej Polski","","Tetyń","74-205 TETYŃ 56","","","91/563-07-24"," Józef  Dudziak","8:00,, 11:00,","Pn. 18:00,; Śr. 18:00,; Pt. 18:00,; So. 18:00,; ","","53.04645,14.7742","http://szczecin.kuria.pl/wspolnoty/koscioly/Tetyn-Kosciol-parafialny-pw-MB-Krolowej-Polski_31","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/t01_37.jpg"
"Trzebórz Kościół filialny","","Trzebórz","74-205 TETYŃ 56","","","91/563-07-24"," Józef  Dudziak","12:30,","Cz. 18:00,; ","","53.07317,14.78768","http://szczecin.kuria.pl/wspolnoty/koscioly/Trzeborz-Kosciol-filialny-_32","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/t01_t17.jpg"
"Tywica Kościół filialny","","Tywica","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","13:00,","Cz. 18:00,; ","","53.11476,14.628424","http://szczecin.kuria.pl/wspolnoty/koscioly/Tywica-Kosciol-filialny-_4","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/banie_kosciol.jpg"
"Załęże Kościół filialny","","Załęże","74-205 TETYŃ 56","","","91/563-07-24"," Józef  Dudziak","09:30,","Wt. 18:00,; ","","53.02523,14.80819","http://szczecin.kuria.pl/wspolnoty/koscioly/Zaleze-Kosciol-filialny-_33","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/t01_z21.jpg"
"Żarczyn Kościół filialny","","Żarczyn","ul. Królewiecka 37, 74-121 KRZYWIN GRYFIŃSKI","","","91/416-75-10"," Jan  Karwath","10:15,","Cz. 17:00,; ","","53.09604,14.54778","http://szczecin.kuria.pl/wspolnoty/koscioly/Zarczyn-Kosciol-filialny-_17","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k18_za16.jpg"
"Żejechowo Kościół filialny","","Żejechowo","ul. Królewiecka 37, 74-121 KRZYWIN GRYFIŃSKI","","","91/416-75-10"," Jan  Karwath","11:30,","Pt. 17:00,; ","","53.05901,14.53456","http://szczecin.kuria.pl/wspolnoty/koscioly/Zejechowo-Kosciol-filialny-_18","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k18_ze19.jpg"
"Kościół parafialny pw św. Bonifacego","","Barlinek","ul. św. Bonifacego 13 A, 74-320 BARLINEK","www.bonifacy.rel.pl","parafia@bonifacy.rel.pl","95/746-63-39, fax. 95/746-63-39"," Andrzej  Miś","8:30,, 11:00,, 12:30,, 18:00,","Pn. 18:00,; Wt. 18:00,; Śr. 18:00,; Cz. 18:00,; Pt. 18:00,; So. 9:00,, 18:00,; ","","53.00537,15.22387","http://szczecin.kuria.pl/wspolnoty/koscioly/Barlinek-Kosciol-parafialny-pw-sw-Bonifacego_34","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b02_29.jpg"
"Kościół parafialny pw Niep. Serca NMP","","Barlinek","ul. Kościelna 3, 74-320 BARLINEK","www.parafiabarlinek.pl","","95/746-12-04"," Bronisław  Lose","7:00,, 9:00,, 10:30,, 12:00,, 18:00,","7:00,, 18:00,","","52.99221,15.21896","http://szczecin.kuria.pl/wspolnoty/koscioly/Barlinek-Kosciol-parafialny-pw-Niep-Serca-NMP_37","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b03_89.jpg"
"Kościół parafialny pw św. Wojciecha BM","","Barlinek","ul. Moniuszki 23, 74-320 BARLINEK","www.wojciech.eparafia.pl","barlinek@wojciech.eparafia.pl","95/747-94-12"," Jerzy  Brocławik","7:30,, 9:00,, 10:30,, 12:00,, 18:00,","18:00,","","53.00415,15.20673","http://szczecin.kuria.pl/wspolnoty/koscioly/Barlinek-Kosciol-parafialny-pw-sw-Wojciecha-BM_40","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b21_k10_1.jpg"
"Kościół parafialny pw św. Antoniego","","Będargowo","ul. Będargowo 87, 73-260 PEŁCZYCE","","","95/768-56-96, kom. 501-751-677"," Krzysztof  Maj","10:30,","Pn. 7:00,; Śr. 17:00, - zimą, 18:00, - latem; Pt. 17:00, - zimą, 18:00, - latem; ","","53.02348,15.36832","http://szczecin.kuria.pl/wspolnoty/koscioly/Bedargowo-Kosciol-parafialny-pw-sw-Antoniego_43","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b05_32.jpg"
"Kościół parafialny pw MB Różańcowej","","Boguszyny","ul. Boguszyny 3, 73-260 Pełczyce","","","95/768-59-70, kom. 608/48.96.30"," Augustyn  Kozior","12:00,","Pn. 17:00,; Wt. 17; Pt. 17:00,; So. 17:00,; ","","53.08456,15.35219","http://szczecin.kuria.pl/wspolnoty/koscioly/Boguszyny-Kosciol-parafialny-pw-MB-Rozancowej_47","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b08_14.jpg"
"Bolewice Kościół filialny","","Bolewice","ul. Kościelna 4, 73-260 PEŁCZYCE","www.parafiapelczyce.org","parafiapelczyce@wp.pl","95/768-53-15"," Henryk  Raźniewski","13:00,","","","53.05811,15.33279","http://szczecin.kuria.pl/wspolnoty/koscioly/Bolewice-Kosciol-filialny-_59","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p01_b05.jpg"
"Chrapowo Kościół filialny","","Chrapowo","ul. Kościelna 4, 73-260 PEŁCZYCE","www.parafiapelczyce.org","parafiapelczyce@wp.pl","95/768-53-15"," Henryk  Raźniewski","10:15,","","","53.04593,15.24627","http://szczecin.kuria.pl/wspolnoty/koscioly/Chrapowo-Kosciol-filialny-_58","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p01_c08.jpg"
"Dziedzice Kościół filialny","","Dziedzice","ul. Jesionowo 58, 74-210 PRZELEWICE","www.parafiajesionowo.com","par-jesion@wp.pl","91/564-33-28"," Adam  Polanowski","10:15,","Śr. 17:45,; Pt. 17:45,; ","","53.02278,15.0777","http://szczecin.kuria.pl/wspolnoty/koscioly/Dziedzice-Kosciol-filialny-_52","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j04_d32.jpg"
"Gardziec Kościół filialny","","Gardziec","ul. Rosiny 23, 74-210 PRZELEWICE","rosiny.sytes.net","rosiny@o2.pl","91/564-30-55, kom. 724582242"," Ryszard  Krauze","09:00,","","","53.11134,15.16945","http://szczecin.kuria.pl/wspolnoty/koscioly/Gardziec-Kosciol-filialny-_67","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/r09_g12.jpg"
"Jagów Kościół filialny","","Jagów","ul. Kościelna 4, 73-260 PEŁCZYCE","www.parafiapelczyce.org","parafiapelczyce@wp.pl","95/768-53-15"," Henryk  Raźniewski","13:00,","","","53.06342,15.24404","http://szczecin.kuria.pl/wspolnoty/koscioly/Jagow-Kosciol-filialny-_60","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p01_j26.jpg"
"Kościół parafialny pw Chrystusa Króla","","Jesionowo","ul. Jesionowo 58, 74-210 PRZELEWICE","www.parafiajesionowo.com","par-jesion@wp.pl","91/564-33-28"," Adam  Polanowski","9:00,, 13:00,","16:30,","","53.0521,15.10637","http://szczecin.kuria.pl/wspolnoty/koscioly/Jesionowo-Kosciol-parafialny-pw-Chrystusa-Krola_50","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j04_38.jpg"
"Jesionowo Kościół filialny","","Jesionowo","ul. Jesionowo 58, 74-210 PRZELEWICE","www.parafiajesionowo.com","par-jesion@wp.pl","91/564-33-28"," Adam  Polanowski","9:00,","Wt. 17:00,; Cz. 17:00,; So. 17:00,; ","","53.0521,15.10637","http://szczecin.kuria.pl/wspolnoty/koscioly/Jesionowo-Kosciol-filialny-_51","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j04_p19.jpg"
"Kluki Kościół filialny pw św.Teresy od Dzieciątka Jezus","","Kluki","ul. Przelewice 108, 74-210 PRZELEWICE","","parafiaprzelewice@wp.pl","91/564-30-94, fax. 91/564-30-94"," Roman  Dutko","","Wt. 17:00,; ","","53.13769,15.07002","http://szczecin.kuria.pl/wspolnoty/koscioly/Kluki-Kosciol-filialny-pw-swTeresy-od-Dzieciatka-Jezus_62","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/2_koAyciyAI_w_Klukach_1.jpg"
"Kłodzino Kościół filialny pw Św. Antoniego z Padwy","","Kłodzino","ul. Rosiny 23, 74-210 PRZELEWICE","rosiny.sytes.net","rosiny@o2.pl","91/564-30-55, kom. 724582242"," Ryszard  Krauze","12:00,","Pn. 16:00,; Śr. 16.00,; ","","53.10911,15.10469","http://szczecin.kuria.pl/wspolnoty/koscioly/Klodzino-Kosciol-filialny-pw-Sw-Antoniego-z-Padwy_66","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/100_7900.jpg"
"Kosin Kościół filialny pw Matki Bożej  Częstochowskiej","","Kosin","ul. Przelewice 108, 74-210 PRZELEWICE","","parafiaprzelewice@wp.pl","91/564-30-94, fax. 91/564-30-94"," Roman  Dutko","","Śr. 17:00,; ","","53.120951286308845,15.056848526000977","http://szczecin.kuria.pl/wspolnoty/koscioly/Kosin-Kosciol-filialny-pw-Matki-Bozej-Czestochowskiej-_879","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/1_koAyciyAI_w_Kosinie.jpg"
"Krzynki Kościół filialny","","Krzynki","ul. Będargowo 87, 73-260 PEŁCZYCE","","","95/768-56-96, kom. 501-751-677"," Krzysztof  Maj","13:30,","So. 17:00,; ","","52.99099,15.37064","http://szczecin.kuria.pl/wspolnoty/koscioly/Krzynki-Kosciol-filialny-_46","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b05_k29.jpg"
"Laskowo Kościół filialny pw Najświętszego Serca Pana Jezusa","","Laskowo","ul. Moniuszki 23, 74-320 BARLINEK","www.wojciech.eparafia.pl","barlinek@wojciech.eparafia.pl","95/747-94-12"," Jerzy  Brocławik","20:30,","Cz. 17:30,; ","","53.07024,15.16224","http://szczecin.kuria.pl/wspolnoty/koscioly/Laskowo-Kosciol-filialny-pw-Najswietszego-Serca-Pana-Jezusa_42","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/42.jpg"
"Lubiana Kościół filialny","","Lubiana","ul. Boguszyny 3, 73-260 Pełczyce","","","95/768-59-70, kom. 608/48.96.30"," Augustyn  Kozior","09:00,","Śr. 17:00,; ","","53.09966,15.34077","http://szczecin.kuria.pl/wspolnoty/koscioly/Lubiana-Kosciol-filialny-_48","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b08_l20.jpg"
"Lucin Kościół filialny","","Lucin","ul. Jesionowo 58, 74-210 PRZELEWICE","www.parafiajesionowo.com","par-jesion@wp.pl","91/564-33-28"," Adam  Polanowski","11:30,","","","53.07282,15.09173","http://szczecin.kuria.pl/wspolnoty/koscioly/Lucin-Kosciol-filialny-_53","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/j04_l18.jpg"
"Moczydło Kościół filialny","","Moczydło","ul. Kościelna 3, 74-320 BARLINEK","www.parafiabarlinek.pl","","95/746-12-04"," Bronisław  Lose","14:00,","Śr. 16:30,; ","","52.9159,15.28455","http://szczecin.kuria.pl/wspolnoty/koscioly/Moczydlo-Kosciol-filialny-_39","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b03_m20.jpg"
"Niesporowice Kościół filialny","","Niesporowice","ul. Kościelna 4, 73-260 PEŁCZYCE","www.parafiapelczyce.org","parafiapelczyce@wp.pl","95/768-53-15"," Henryk  Raźniewski","08:30,","","","52.9819,15.33451","http://szczecin.kuria.pl/wspolnoty/koscioly/Niesporowice-Kosciol-filialny-_56","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p01_n12.jpg"
"Osina Kościół filialny pw Matki Bożej Bolesnej","","Osina","ul. Moniuszki 23, 74-320 BARLINEK","www.wojciech.eparafia.pl","barlinek@wojciech.eparafia.pl","95/747-94-12"," Jerzy  Brocławik","09:00,","Cz. 16:30,; ","","53.02168,15.18366","http://szczecin.kuria.pl/wspolnoty/koscioly/Osina-Kosciol-filialny-pw-Matki-Bozej-Bolesnej_41","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/41.jpg"
"Kościół parafialny pw Narodzenia NMP","","Pełczyce","ul. Kościelna 4, 73-260 PEŁCZYCE","www.parafiapelczyce.org","parafiapelczyce@wp.pl","95/768-53-15"," Henryk  Raźniewski","10:00,, 11:30,, 18:00,","18:00,","","53.04301,15.30361","http://szczecin.kuria.pl/wspolnoty/koscioly/Pelczyce-Kosciol-parafialny-pw-Narodzenia-NMP_55","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/p01_43.jpg"
"Płonno Kościół filialny","","Płonno","ul. św. Bonifacego 13 A, 74-320 BARLINEK","www.bonifacy.rel.pl","parafia@bonifacy.rel.pl","95/746-63-39, fax. 95/746-63-39"," Andrzej  Miś","10:00,","Śr. 17:00,; ","","52.99775,15.22451","http://szczecin.kuria.pl/wspolnoty/koscioly/Plonno-Kosciol-filialny-_36","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b02_p41.jpg"
"Przekolno Kościół filialny","","Przekolno","ul. Będargowo 87, 73-260 PEŁCZYCE","","","95/768-56-96, kom. 501-751-677"," Krzysztof  Maj","12:00,","Wt. 17:00, - zimą, 18:00, - latem; ","","53.04872,15.38128","http://szczecin.kuria.pl/wspolnoty/koscioly/Przekolno-Kosciol-filialny-_45","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b05_p67.jpg"
"Kościół parafialny pw Matki Bożej Królowej Polski","","Przelewice","ul. Przelewice 108, 74-210 PRZELEWICE","","parafiaprzelewice@wp.pl","91/564-30-94, fax. 91/564-30-94"," Roman  Dutko","11:00,","Pn. 9:00,; Śr. ; Cz. ; Pt. 17:00,; So. 19:00, (Liturgia Niedzieli) oraz w 1-szą sobotę-9,00,(dla grup duszpasterskich).; ","","53.10399,15.07581","http://szczecin.kuria.pl/wspolnoty/koscioly/Przelewice-Kosciol-parafialny-pw-Matki-Bozej-Krolowej-Polski_61","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/3_koAyciyAI_w_Przelewicach.jpg"
