"name","address","www","email","phone","rector","sun","week","fest","url"
"Parafia pw. Matki Bożej Fatimskiej","ul. Ogrody 18, 85-870 Bydgoszcz","www.mbf.bydgoszcz.pl","","52 372 75 41 lub 52 362 02 10 - proboszcz","ks. Józef ORCHOWSKI","18.30 (w sobotę), 6.30, 8.00, 9.30, 11.00, 12.30, 15.00, 18.30","7.00, 7.30, 17.00, 18.30","6.30, 8.00, 9.30, 15.00, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/126-bydgoszcz-matki-boej-fatimskiej"
"Parafia pw. Matki Bożej Zwycięskiej","ul. Bartosza Głowackiego 20, 85-714 Bydgoszcz","www.mbzwycieskiej.pl","mbzwycieska@gmail.com","52 342 04 02 - parafia","ks. Wenancjusz ZMUDA","7.00, 8.30, 10.00, 11.30, 13.00 (oprócz lipca i sierpnia), 18.00, 20.00 (w lipcu i sierpniu)","7.00, 8.00, 18.00, (w lipcu i w sierpniu 8.00 i 18.00), (podczas kolędy 7.00, 8.00, 15.30)","7.00, 8.00, 10.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/124-bydgoszcz-mb-zwyciskiej"
"Parafia pw. Miłosierdzia Bożego","ul. Nakielska 68, 85-347 Bydgoszcz","www.milosierdzie.bydgoszcz.pl","proboszcz@milosierdzie.bydgoszcz.pl","52 373 37 38 - proboszcz","ks. Tadeusz KRUSZKA","7.00, 8.00, 9.30, 11.00, 12.30, 19.00","7.00, 18.30","7.00, 9.00, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/128-bydgoszcz-miosierdzia-boego"
"Parafia pw. Najświętszego Serca Pana Jezusa","pl. Piastowski 5, 85-012 Bydgoszcz - biuro i wikariusze","www.nspj.bydgoszcz.pl","","52 322 29 02 - biuro (w czasie urzędowania)","ks. dr Roman KNEBLEWSKI","7.30, 9.30, 11.00, 12.15, 14.00 (po łacinie), 19.00 (wrzesień-maj), 20.00 (czerwiec-sierpień)","7.30, 8.30 (sobota), 17.15 (poniedziałek-piątek), 18.30, 19.15 (I piątek miesiąca)","7.30, 8.30 (sobota), 17.15 (poniedziałek-piątek), 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/132-bydgoszcz-najwitszego-serca-pana-jezusa"
"Msze święte:","ul. Toruńska 428, 85-880 Bydgoszcz","","kosciol.legnowo@wp.pl","52 387 81 28","ks. Romuald PEPLINSKI","8.00, 9.30, 11.00","16.30 (od listopada do marca), 17.30 (od kwietnia do października)","9.15, 17.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/127-bydgoszcz-matki-boej-krolowej-polski"
"Parafia pw. Niepokalanego Poczęcia NMP","ul. Saperów 63, 85-504 Bydgoszcz","www.parafiajachcice.neostrada.pl","parafia.jachcice@neostrada.pl","52 322 35 84 - proboszcz","ks. Roman MROSCZOK","18.00 (w sobotę) 7.00, 8.30, 10.00, 11.30. 18.00 (od października do kwietnia), 19.00 (od maja do września)","7.00, 18.00","7.00, 9.00, 16.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/133-bydgoszcz-niepokalanego-poczcia-nmp"
"Parafia pw. NMP Matki Kościoła","ul. Jaskółcza 39, 85-308 Bydgoszcz","www.nmpmk.pl","matkakosciola@op.pl","52 373 43 33 - proboszcz","ks. Piotr RASZKA","7.30, 9.00, 10.30, 12.00, 14.00, 17.00","8.00, 17.00","8.00, 17.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/130-bydgoszcz-nmp-matki-kocioa"
"Parafia pw. NMP z Góry Karmel","ul. Spacerowa 69, 85-386 Bydgoszcz","www.karmel.bydgoszcz.pl","panasiuk@wa.onet.pl","52 379 67 99 - proboszcz","ks. Krzysztof PANASIUK","7.30. 9.00, 10.30, 12.00, 17.30 (lipiec i sierpień: 8.00, 10.00, 12.00, 17.30)","7.30, 18.30 (lipiec i sierpień 18.30; w sobotę 7.30 i 18.30)","7.30, 9.00, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/131-bydgoszcz-nmp-z-gory-karmel"
"Parafia pw. Opatrzności Bożej","ul. Sandomierska 35, 85-830 Bydgoszcz","www.opatrznosc.bydgoszcz.pl","opatrznosc.bydg@interia.pl","52 361 30 60 - proboszcz","ks. Maciej GUTMAJER","18.00 (w sobotę), 7.00, 8.30, 10.00, 11.30, 13.00 (oprócz lipca i sierpnia), 18.00","7.00, 17.00","7.00, 9.00, 17.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/134-bydgoszcz-opatrznoci-boej"
"Parafia pw. Przemienienia Pańskiego","ul. Sanatoryjna 45, 85-474 Bydgoszcz","www.parafiaoplawiec.pl","g.romanek@wp.pl","52 328 30 55 - proboszcz","ks. Grzegorz ROMAN","Opławiec 8.00, 11.30, 18.00, Smukała 10.00, szpital 10.00","  Opławiec 8.30 (wtorek), 18.00 (poniedziałek, środa, czwartek, piątek), Smukała 17.00 (tylko w I piątek miesiąca), szpital 18.30 (wtorek)","Opławiec 18.00, Smukała 17.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/136-bydgoszcz-przemienienia-paskiego"
"Msze święte :","pl. Kościeleckich 7, 85-033 Bydgoszcz","","bydgoszcz@jezuici.pl","52 350 63 96 - biuro","o. Jerzy KACPRZYK SJ","7.30, 9.30, 10.00 (w kaplicy szpitala zakaźnego), 11.00, 12.30, 16.00, 19.00","7.00, 8.00, 15.30, 18.00","7.30, 9.30, 10.00 (w kaplicy szpitala zakaźnego), 11.00, 12.30, 16.00, 19.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/142-bydgoszcz-w-andrzeja-boboli"
"Parafia pw. św. Antoniego z Padwy","ul. Głucha 15, 85-404 Bydgoszcz","www.antonibydgoszcz.pl","","52 327 77 97 - proboszcz","ks. Janusz KONYSZ","7.30, 9.00, 10.30, 12.00, 18.00","7.00, 18.00","7.00, 9.00, 17.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/143-bydgoszcz-w-antoniego-z-padwy"
"Parafia pw. św. Jadwigi Królowej","ul. Wojska Polskiego 7, 85-171 Bydgoszcz","www.jadwiga.bydgoszcz.pl","jadwiga.bydgoszcz@gmail.com","52 552 44 64 - biuro","ks. Tomasz CYL","","7.00, 8.30, 18.30","7.00, 8.30, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/145-bydgoszcz-w-jadwigi-krolowej"
"Parafia pw. św. Jana Apostoła i Ewangelisty","ul. Sikorskiego 8, 85-790 Bydgoszcz","www.sw-jan-fordon.pl","biuro-parafialne@sw-jan-fordon.pl","52 343 90 90 - proboszcz","ks. Janusz TOMCZAK","18.00 ( w sobotę), 7.30, 9.00, 10.30, 12.00, 14.00 (oprócz lipca i sierpnia), 18.00","8.00, 18.00","8.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/146-bydgoszcz-w-jana-apostoa-i-ewangelisty"
"Parafia Św. Jana Pawła II","ul. Bydgoskich Olimpijczyków 11","www.jp2.bydgoszcz.pl","parafia@jp2.bydgoszcz.pl","52 304 50 04","ks. Jarosław CZULIŃSKI","8.30, 11.00, 18.00","18.00","8.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/1332-bydgoszcz-bl-jana-pawla-ii-papieza-w-bydgoszczy"
"Parafia pw. św. Józefa","ul. Wł. Bełzy 11, 85-817 Bydgoszcz","www.pswj.pl","bjozef@op.pl","52 371 61 23 - proboszcz","ks. Franciszek NOWAKOWSKI","18.00 (w sobotę), 7.00, 9.00, 10.30, 12.00, 18.00","8.00, 18.00"," ","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/147-bydgoszcz-w-jozefa-rzemielnika"
"Parafia pw. św. Maksymiliana Kolbego","ul. Kolibrowa 5, 85-431 Bydgoszcz","www.mkolbe.bydgoszcz.pl","parafia@mkolbe.bydgoszcz.pl","52 372 21 92 - proboszcz","ks. dr Tomasz KALOCIŃSKI","7.00, 8.30, 10.00, 11.30, 12.30 (oprócz lipca i sierpnia), 17.00","7.00, 18.00","7.00, 9.30, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/148-bydgoszcz-w-maksymiliana-kolbego"
"Parafia pw. św. Marka (Towarzystwo Świętego Franciszka Salezego - Salezjanie)","ul. Salezjańska 1, 85-792 Bydgoszcz","www.bydgoszcz-sm.salezjanie.pl","bydgoszcz-sm@salezjanie.pl","52 346 70 02 - parafia","ks. Tadeusz ITRYCH SDB","7.30, 9.00, 10.30,  12.00,  13.15, 18.00, (lipiec-sierpień: 7.30,  9.00,  10.30,  12.30, 18.00,  20.00)","7.00 ,8.00,  18.00","7.00,  8.00,  10.00,  18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/150-bydgoszcz-w-marka"
"Parafia pw. św. Mateusza Apostoła i Ewangelisty","ul. Skarżyńskiego 4, 85-798 Bydgoszcz","www.mateusz.bydgoszcz.pl","parafia@mateusz.bydgoszcz.pl","52 343 01 38 lub 52 343 12 22 - proboszcz","ks. dr Mariusz KUCIŃSKI","18.00 (w sobotę) 7.00, 8.30, 10.00, 11.30, 13.00 (oprócz lipca i sierpnia), 18.00","7.00, 17.00 (oprócz lipca i sierpnia), 18.00, (7.00 i 15.30 w czasie kolędy)","7.00, 10.00, 17.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/151-bydgoszcz-w-mateusza"
"Parafia pw. św. Mikołaja","ul. Wyzwolenia 2, 85-790 Bydgoszcz","www.mikolaj.bydgoszcz.pl","parafia@mikolaj.bydgoszcz.pl","52 347 15 55 - proboszcz","ks. dr Roman BULIŃSKI","8.00, 9.30, 11.00, 12.30, 18.30","7.30, 18.30","7.30, 9.30, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/152-bydgoszcz-w-mikoaja"
"Parafia pw. św. Stanisława Biskupa i Męczennika","ul. Kapliczna 1, 85-775 Bydgoszcz","www.parafiaswstanislawa.pl","kancelaria@parafiaswstanislawa.pl","52 348 50 26 - proboszcz","ks. Janusz TUSK","18.00 (w sobotę), 7.30, 9.00, 10.30, 12.00, 18.00","7.30, 18.00","7.30, 9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/154-bydgoszcz-w-stanisawa-biskupa-i-mczennika"
"Parafia pw. św. Urszuli Ledóchowskiej","ul. Orna 6, 85-356 Bydgoszcz","www.parafiaurszuliledochowskiej.pl","parafiaul@wp.pl","52 373 38 39 - proboszcz","ks. Mieczysław BIELIŃSKI","7.30, 9.00, 10.30, 12.00, 18.00","7.00, 18.00","7.30, 9.00, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/155-bydgoszcz-w-urszuli-ledochowskiej"
"Parafia pw. św. Wincentego á Paulo (Misjonarze św. Wincentego á Paulo)","BAZYLIKA MNIEJSZA","http://bydgoskabazylika.pl/","biuro@bydgoskabazylika.pl","52 322 53 52 lub 52 322 02 79 - parafia (proboszcz w. 39)","ks. Mieczysław KOZŁOWSKI CM","6.00, 7.00, 8.30, 10.00, 11.30 (dzieci szkolne), 13.00, 16.00 od października do kwietnia), 18.00 (młodzież), 20.00 (od maja do września), kaplica akademicka: 10.00 (studencka od września do czerwca) 11.30 (dzieci przedszkolne od września do czerwca)","6.00, 7.00, 8.00, 9.00, 18.00","6.00, 7.00, 8.00, 9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/135-bydgoszcz-parafia-pw-w-wincentego-a-paulo"
"Parafia pw. św. Wojciecha","ul. Kanałowa 6, 85-207 Bydgoszcz","www.swwojciech.bydgoszcz.pl","","52 322 34 34 - proboszcz","ks. Jarosław ANTKOWIAK","18.00 (w sobotę), 7.00, 8.30, 10.00, 11.30, 18.00","7.00, 18.00","7.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/156-bydgoszcz-w-wojciecha"
"Parafia pw. św. Łukasza Ewangelisty","ul. Gen. Bora-Komorowskiego 14, 85-799 Bydgoszcz","www.wol.bydgoszcz.pl","wol@gniezno.opoka.org.pl","52 346 91 30 - biuro","ks. Mirosław PSTRĄGOWSKI","17.00 (w sobotę), 8.00, 10.00, 11.30, 17.00","17.00 (w czasie letnich wakacji), 18.00 (z wyjątkiem letnich wakacji, kolędy i ferii zimowych)","9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/157-bydgoszcz-w-ukasza-ewangelisty"
"Parafia pw. Świętego Krzyża","ul. Artyleryjska 10, 85-680 Bydgoszcz","www.swkrzyz.bydgoszcz.pl","parafia@swkrzyz.bydgoszcz.pl","52 346 25 97","ks. Roman JANKA","18.00 (w sobotę), 8.00, 10.00, 12.00, 18.00","9.00, 18.00","9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/158-bydgoszcz-witego-krzya"
"Parafia pw. Świętej Rodziny","ul. Drzycimska 7, 85-555 Bydgoszcz","www.swrodzina.gniezno.opoka.org.pl","swrodzina@gniezno.opoka.org.pl","52 340 20 20 - proboszcz","ks. Michał ANDRZEJEWSKI","7.30, 11.00, 17.30","9.00 lub 18.00","7.30, 11.00, 17.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/159-bydgoszcz-witej-rodziny"
"Parafia pw. Świętej Trójcy","ul. Świętej Trójcy 26, 85-224 Bydgoszcz","www.trojca.info","parafia@trojca.info","52 322 70 94 - proboszcz","ks. dr Bronisław KACZMAREK","7.30, 9.00 (z udziałem młodzieży), 10.30 (z udziałem dzieci), 12.00, 15.00, 18.00, 20.30 (w lipcu i sierpniu zamiast Mszy św. o 15.00)","7.00, 8.00, 18.00","7.00, 8.00, 10.00, 16.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/160-bydgoszcz-witej-trojcy"
"Parafia pw. Świętych Apostołów Piotra i Pawła","plac Wolności, 85-007 Bydgoszcz","www.piotraipawla.pl","","52 328 64 80 - proboszcz","ks. Teodor PARADOWSKI","18.30 (w sobotę), 7.30, 9.30, 11.00, 12.30, 17.00, 19.00","7.30, 8.00, 18.30","8.00, 10.00, 17.00, 19.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/144-bydgoszcz-w-apostoow-piotra-i-pawa"
"Parafia pw. Świętych Polskich Braci Męczenników","SANKTUARIUM NOWYCH MĘCZENNIKÓW","www.nowimeczennicy.pl","kustosz.meczennicy@wp.pl","52 361 15 72","ks. Józef KUBALEWSKI","18.00 (w sobotę), 7.30, 9.00, 10.15, 11.30 (dla dzieci), 13.00. 18.00, 20.00","7.00, 8.00, 10.00 (oprócz lipca i sierpnia), 18.00","7.30, 9.00, 10.15, 16.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/153-bydgoszcz-w-polskich-braci-mczennikow"
"Parafia pw. Wniebowstąpienia Pańskiego","ul. Atolowa 6, 85-435 Bydgoszcz","","pwniebopan1999@op.pl","52 347 90 37 - proboszcz","ks. dr Andrzej DAWIDEK","8.00, 9.30, 11.00, 12.15, 18.00","17.00, 18.00, (w soboty 8.00, 18.00)","8.00, 10.00, 16.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/137-bydgoszcz-wniebowstpienia-paskiego"
"Parafia pw. Zmartwychwstania Pańskiego (Misjonarze św. Wincentego á Paulo)","al. Kard. Stefana Wyszyńskiego 58, 85-620 Bydgoszcz","www.zmartwych.pl","zmartwych@gmail.com","52 345 36 71 - proboszcz (wew.13)","ks. Tadeusz RISTAU CM","18.00 (w sobotę), 6.30, 8.00, 9.30 (dla młodzieży), 11.00 (dla dzieci), 12.30, 16.00 (oprócz lipca i sierpnia), 18.00","7.00, 7.30, 8.00 (oprócz lipca i sierpnia)","7.00, 8.00, 9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/139-bydgoszcz-zmartwychwstania-paskiego"
"Parafia pw. św. Jakuba Większego Apostoła","Bługowo 6, 77-400 Złotów","","sjacobi@neostrada.pl","67 263 11 60","ks. Marek LEWANDOWSKI","7.30, 11.00","poniedziałek-wtorek 18.00, środa 7.00, czwartek 17.00","11.00, 17.00 lub 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/162-bugowo-w-jakuba-apostoa"
"Parafia pw. św. Małgorzaty","Chojna 14, 62-130 Gołańcz","","","67 261 56 53","ks. Ryszard STAWIARZ","8.30, 11.00","","10.00, 17.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/163-chojna-w-magorzaty"
"Parafia pw. św. Apostołów Piotra i Pawła","Chomętowo nr 12, 89-200 Szubin","","","52 384 50 01","ks. Andrzej Babiński","18.00 (w sobotę), 8.00, 10.30","17.00 (zimą), 18.00 (latem)","9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/164-chomtowo-w-apostoow-piotra-i-pawa"
"Parafia pw. Matki Boskiej Bolesnej","Ciele, ul. Kościelna 1, 86-005 Białe Błota","www.parafiaciele.com","parafiaciele@parafiaciele.com","52 381 41 95","ks. Wiesław PAŁUCZAK","8.30, 10.00, 11.30","18.00","10.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/328-ciele-matki-boej-bolesnej"
"Parafia pw. św. Andrzeja Apostoła","Czeszewo 33, 62-130 Gołańcz","","parafia.czeszewo@wp.pl","67 261 54 38","ks. Jan DZIERLA","8.30, 11.00","18.00 (latem), 17.00 (zimą)","9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/165-czeszewo-w-andrzeja-apostoa"
"Parafia pw. św. Jakuba Mniejszego Apostoła","86-014 Sicienko","","parafia.dabrowka.nowa@neostarada.pl","52 381 55 82","ks. Stanisław KARABASZ","17.00 (w sobotę) 8.00, 9.30, 11.00","17.00","  10.00, 17.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/324-dbrowka-nowa-w-jakuba-mniejszega-ap"
"Parafia pw. św. Michała Archanioła","Bohaterów 8 Dębowo, 89-110 Sadki","www.parafia-debowo.pl","pardebowo@wp.pl","52 385 09 92","ks. Waldemar KRAWCZAK","8.15 - Dębionek, 9.45, 11.15, 18.00","18.00","9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/171-dbowo-w-michaa-archanioa"
"Parafia pw. św. Wawrzyńca","ul. Długa 40, 86-022 Dobrcz","","pwawrzyniec@o2.pl","52 381 89 79","ks. Grzegorz BILECKI","8.00, 10.00, 11.30","17.00 - zimą, 18.00 - latem","10.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/166-dobrcz-w-wawrzyca"
"Parafia pw. św. Anny","Drzewianowo 7, 89-115 Mrocza","","parafia.sw.anna.drzewianowo@wp.pl","52 385 62 32","ks. Krzysztof BABIŃSKI","8.30, 10.30","17.00 (od października do kwietnia), 18.00 (od maja do września)","9.30, 17.00 (od października do kwietnia), 18.00 (od maja do września)","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/167-drzewianowo-w-anny"
"Parafia pw. Świętych Piotra i Pawła","Dziembowo 97, 64-810 Kaczory","http://piotra-i-pawla.dziembowo.parafia.info","parafia@piotra-i-pawla.dziembowo.parafia.info","67 284 27 28","ks. Andrzej SKWARCZEK","17.00 (w sobotę), 9.00, 11.00","17.00","9.00, 11.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/168-dziembowo-w-piotra-i-pawa"
"Parafia pw. św. Jakuba Apostoła","Dziewierzewo 6, 89-240 Kcynia","","parafia.dziewierzewo@wp.pl","52 384 10 18","ks. Zbigniew PLEWA","17.00 (w sobotę), 7.15, 9.00, 10.30","17.00","9.00, 17.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/169-dziewierzewo-w-jakuba-ap"
"Parafia pw. św. Mikołaja","89-310 Łobżenica","www.dzwierszno.pl","","67 286 16 10","ks. Jarosław GRUBA","8.00, 10.00, 12.00","9.30 (wtorek), 18.00","11.00, 16.00 lub 19.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/170-dwierszno-wielkie-w-mikoaja"
"Parafia pw. św. Józefa","Fanianowo 15, 89-310 Łobżenica","www.parafiafanianowo.pl","stanbez@wp.pl","67 286 94 20","ks. Stanisław BEZLER","18.00 (w sobotę) i 8.00 - Dębno, 9.30, 11.00 - Fanianowo",": 9.00 - Dębno DPS, 17.00 - Dębno, 18.00 - Fanianowo","17.00 - Dębno, 18.00 - Fanianowo","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/172-fanianowo-w-jozefa"
"Parafia pw. św. Jadwigi","Glesno 5, 89-300 Wyrzysk","","parafia.glesno@wp.pl","67 286 25 98","ks. Waldemar ĆWIK","7.30, 9.00, 10.30","9.00 (lipiec i sierpień), 18.00 (pozostałe)","9.00, 17.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/173-glesno-w-jadwigi"
"Parafia pw. NMP Niepokalanie Poczętej (Zgromadzenie Misjonarzy Świętej Rodziny)","SANKTUARIUM MATKI BOŻEJ GÓRECKIEJ - KRÓLOWEJ KRAJNY","www.gorkaklasztorna.com","gk@msf.opoka.org.pl","67 286 08 48, fax. 67 286 08 48 (wew. 100)","ks. Kazimierz ŚWIDERSKI MSF","6.30, 8.00, 10.00, 12.00, 16.00 (od października do kwietnia), 18.00 (od maja do września)","7.00, 11.00 (od maja do września), 18.00","6.30, 8.00, 10.00, 12.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/178-gorka-klasztorna-nmp-niepokalanie-pocztej"
"Parafia pw. św. Wawrzyńca","ul. Ks. Mrotka 8, 62-130 Gołańcz","","","67 261 50 65 - proboszcz","ks. Roman LIDZIŃSKI","7.30, 9.30, 10.30 - Czesławice, 11.30, 18.00","7.30, 18.00","7.30, 9.30, 10.30 - Czesławice, 11.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/174-goacz-w-wawrzyca"
