"name","address","www","email","phone","rector","sun","week","fest","url"
"Kościół Niepokalanego Poczęcia Najświętszej Maryi Panny","Bruskowo Wielkie 36, 76-206 Słupsk","parafia-bruskowo.neostrada.pl","strona WWW:","59 811 91 66","ks. Władysław Kitajgrodzki","11.00; ","środa-czwartek 17.00 (lato 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=213"
"Kościół św. Wawrzyńca M.","ul. Koszalińska 39, Brzezie, 77-304 Rzeczenica","dekanat:","jciupinski@koszalin.opoka.org.pl","59 833 31 70, kom. 608 208 301","ks. Józef Ciupiński","12.15; ","poniedziałek-piątek 18.00, sobota 9.00, Adwent 6.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=43"
"Kościół Wniebowstąpienia Pańskiego","Brzeżno 24, 78-316 Brzeżno","dekanat:","strona WWW:","94 364 25 04","ks. Henryk Urzykowski","10.30; ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=194"
"Kościół Niepokalanego Serca Najświętszej Maryi Panny","Bukowo 32, 76-010 Polanów","dekanat:","strona WWW:","59 318 83 46","ks. Jan Sosnowski","11.00; ","poniedziałek-wtorek, czwartek-sobota 16.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=143"
"Kościół Matki Bożej Częstochowskiej","Byszyno 15, 78-200 Białogard","www.parafiabyszyno.pl","strona WWW:","94 311 18 06","ks. Ireneusz Blank","8.30, 13.00 (IX-VI); ","poniedziałek, czwartek, piątek 17.00 (lato 18.00), sobota według ogłoszenia","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=22"
"Kościół św. Franciszka z Asyżu","ul. Szkolna 4, 78-122 Charzyno","dekanat:","strona WWW:","94 358 20 70","ks. Jerzy Ruszkowski, senior","7.30, 12.00; ","poniedziałek, środa, piątek 17.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=69"
"Kościół Najświętszego Serca Pana Jezusa","Cieszeniewo 20, 78-300 Świdwin","dekanat:","strona WWW:","94 365 63 91","ks. Dariusz Mazepa","10.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=195"
"Kościół Świętej Trójcy","ul. Moniuszki 20, 78-550 Czaplinek","www.czaplinek.salezjanie.pl","czaplinek@salezjanie.pl","94 375 52 35","ks. Mirosław Kurkiewicz SDB","7.00, 9.00, 10.30, 12.00, 18.00; ","środa 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=13"
"Kościół Wniebowzięcia Najświętszej Maryi Panny","al. Św. Józefa 3, 77-330 Czarne","dekanat:","strona WWW:","59 833 27 12","ks. Józef Domińczak","8.00, 10.00, 12.00, 18.30; ","7.00 (8.30 w uroczystości, czwartki VII-VIII), czwartek-piątek 17.00 (Msza szkolna, oprócz Adwentu i wakacji)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=44"
"Kościół św. Antoniego","ul. Zwycięstwa Wojska Polskiego 4, 78-630 Człopa","dekanat:","strona WWW:","67 259 10 47","ks. Bogdan Podbielski","8.30, 12.00, 16.30; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=123"
"Kościół Matki Bożej Częstochowskiej","ul. Franciszkańska 4, 76-150 Darłowo","www.darlowo.franciszkanie.pl","darlowo@franciszkanie.gdansk.pl","94 314 20 12","o. Stanisław Piankowski OFMConv.","7.30, 9.00, 10.30, 12.00, 16.00 (IX-VI), 18.00 (VII-VIII dod. 20.00); ","6.30, 8.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=51"
"Kościół św. Gertrudy","ul. O. Tynieckiego 23, 76-150 Darłowo","www.swgertruda.darlowo.pl","swgertruda@eimg.pl, swgertruda@gmail.com","tel. 94 314 27 16, kom. 607 472 716","ks. Adam Wakulicz","9.45; ","środa 16.00 (IV-X 17.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=52"
"Kościół św. Maksymiliana Marii Kolbego","ul. Gdyńska 3, 76-153 Darłówko","www.darlowko.franciszkanie.pl","strona WWW:","94 314 32 72","o. Sebastian Fierek OFMConv.","10.00, 12.00, 16.00 (VII-VIII dod. 8.30, 20.00); ","8.00, 18.00 (VII-VIII 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=53"
"Kościół Matki Bożej z Góry Karmel","ul. Darłowska 14, 76-156 Dąbki","www.dabki.koszalin.opoka.org.pl","dabki@koszalin.opoka.org.pl","94 314 86 08","ks. Andrzej Pęcherzewski","9.00, 11.00 (VI-VIII dod. 19.30); ","17.00 (V-VIII 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=54"
"Kościół Matki Bożej Częstochowskiej","Dobiesław 9, 76-150 Darłowo","dekanat:","strona WWW:","94 314 93 94","ks. Stanisław Wrona","8.00, 12.00; ","poniedziałek-wtorek, czwartek-sobota 17.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=55"
"Kościół św. Jana Kantego","Dobrówko 12, 78-220 Tychowo","dekanat:","jankantydobrowo@wp.pl","94 311 14 64","ks. Rafał Stasiejko","10.30; ","poniedziałek, środa, piątek, sobota 17.00 (lato 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=23"
"Kościół Trójcy Świętej","Dobrzyca 57, 76-038 Dobrzyca","dekanat:","parafia.dobrzyca@neostrada.pl","94 318 12 26","ks. Jarosław Rynowiecki","8.00, 11.00; ","poniedziałek-piątek 18.00, sobota 9.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=114"
"Kościół św. Pawła Apostoła","ul. Dworcowa 5, 78-500 Drawsko Pomorskie","swpawel.com","sw.pawel.drawsko@gmail.com","94 363 31 25 - proboszcz, 94 363 31 39 - wikariusz",", 94 363 31 39 - wikariusz","8.00, 9.30, 11.00, 17.00 (latem 18.00); ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=61"
"Kościół Zmartwychwstania Pana Naszego Jezusa Chrystusa","ul. Obrońców Westerplatte 35, 78-500 Drawsko Pomorskie","www.drawsko.koszalin.opoka.org.pl","strona WWW:","94 363 22 50 - proboszcz, 94 363 44 60 - wikariusze",", 94 363 44 60 - wikariusze","7.00, 8.30, 10.00, 11.30, 18.00 (VII-VIII 19.00); ","7.00, 18.00 (sobota 17.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=60"
"Kościół Niepokalanego Poczęcia Najświętszej Maryi Panny","Dretyń 27A, 77-203 Dretyń","dekanat:","strona WWW:","59 858 16 47","ks. Andrzej Dubel","8.00, 12.30; ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=105"
"Kościół św. Teresy","ul. Rybacka 14, 77-200 Miastko","dekanat:","strona WWW:","59 857 25 83","","8.30","","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=249"
"Kościół Świętego Krzyża","77-306 Brzezie, ul. Koszalińska 39","dekanat:","jciupinski@koszalin.opoka.org.pl","59 833 31 70, kom. 608 208 301","owie:","9.15; ","piątek 16.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=45"
"Kościół Matki Bożej Częstochowskiej","Duninowo 43, 76-270 Ustka","www.duninowo.koszalin.opoka.org.pl","caritasduninowo@poczta.onet.pl","59 814 13 66","ks. Jerzy Wyrzykowski","8.00, 14.00; ","poniedziałek-piątek 18.00, sobota 17.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=214"
"Kościół Wniebowstąpienia Pańskiego","pl. Wolności 4, 78-113 Dygowo","dekanat:","strona WWW:","94 354 91 75","ks. Piotr Niedźwiadek","8.00, 12.30; ","17.00 (w styczniu, lipcu i sierpniu 8.30)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=70"
"Kościół Matki Bożej Różańcowej","Dzierżążno Wielkie 85, 64-730 Wieleń","dekanat:","strona WWW:","604 941 632","ks. Tomasz Styczeń","11.00; ","środa, piątek 17.00 (zima 16.00), pozostałe według ogłoszenia","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=203"
"Kościół Matki Bożej Uzdrowienia Chorych","ul. Wyzwolenia 14A, 78-131 Dźwirzyno","www.parafia.dzwirzyno.pl","dzwirzyno@petrus.opoka.org.pl","94 358 54 00","ks. Marek Żejmo","sobota 19.00 (lato), niedziela 9.30, 11.00 (lato dod. 8.00, 19.00, 20.30); ","16.30 (latem 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=86"
"Kościół Matki Bożej Królowej Polski","Gorawino 43A, 78-124 Gorawino","dekanat:","strona WWW:","kom. 663 159 356","ks. Marek Mierzwa","12.00; ","poniedziałek, środa-sobota 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=72"
"Kościół św. Andrzeja Boboli","ul. Kościelna 2, 78-120 Gościno","parafiagoscino.pl","strona WWW:","94 351 25 16","ks. Andrzej Rother","9.00, 11.00, 17.00 (latem 18.00); ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=71"
"Kościół Matki Bożej Królowej Polski","ul. 1 Maja 1, 78-450 Grzmiąca","dekanat:","strona WWW:","94 373 68 51","ks. Tadeusz Liman","8.30, 11.15; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=14"
"Kościół św. Stanisława Biskupa i Męczennika","ul. Szczecinecka 9, 78-400 Gwda Wielka","dekanat:","strona WWW:","94 375 71 76","ks. Kazimierz Gierszewski","8.00 (XII-III sobota 17.00), 12.30; ","poniedziałek, sobota 9.00, pozostałe 17.00 (lato 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=184"
"Kościół św. Marcina Biskupa","Gwieździn 34, 77-304 Rzeczenica","dekanat:","strona WWW:","59 833 18 53","ks. Kazimierz Mordacz","11.00; ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=46"
"Kościół Najświętszej Maryi Panny Królowej Polski","ul. 1 Maja 5, 64-915 Jastrowie","www.nmpjastrowie.koszalin.opoka.org.pl","strona WWW:","67 266 27 30 - proboszcz, 67 350 70 30 - wikariusz",", 67 350 70 30 - wikariusz","sobota 18.00 (VII-VIII 19.00), niedziela 8.00, 11.30, 13.00 (IX-VI), 18.00; ","8.00, 18.00 (VII-VIII 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=79"
"Kościół św. Michała Archanioła","ul. Kieniewicza 44, 64-915 Jastrowie","www.smjastrowie.pl","michal@smjastrowie.pl","67 266 28 58, kom. 606 422 865","ks. Kazimierz Serafin","8.30, 11.00, 12.30, 17.00; ","7.00 (sobota 8.30), 17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=78"
"Kościół Niepokalanego Poczęcia Najświętszej Maryi Panny","Jelenino 33, 78-400 Szczecinek","dekanat:","strona WWW:","94 375 74 94","ks. Jacek Pela","12.30; ","poniedziałek-piątek 17.00 (lato 18.00, VII-VIII według ogłoszenia)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=185"
"Kościół św. Antoniego Padewskiego","ul. Główna 15, Jezierzyce, 76-200 Słupsk","dekanat:","strona WWW:","59 811 25 64","ks. Feliks Samulak","9.00, 11.30; ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=169"
"Kościół Matki Bożej Ostrobramskiej","Jeżyce 4, 76-150 Darłowo","dekanat:","ksiadz.jezyce@wp.pl","94 314 92 92","ks. Grzegorz Malinowski","8.30, 12.00; ","16.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=56"
"Kościół Matki Bożej Różańcowej","Jędrzejewo 58, 64-713 Jędrzejewo","www.jedrzejewo.parafialnastrona.pl","strona WWW:","67 256 35 12","ks. Mariusz Bąk","9.00, 13.00; ","17.00 (latem 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=204"
"Kościół Matki Bożej Królowej Polski","ul. Krzywoustego 4, 78-540 Kalisz Pomorski","www.kalisz-pomorski.parafia.info.pl","parafiakaliszpomorski@wp.pl","94 361 63 64","ks. Bolesław Czapor","sobota 18.00, niedziela 8.00, 11.00, 18.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=124"
"Kościół św. Michała Archanioła","pl. Jana Pawła II 8, 78-230 Karlino","www.parafia-karlino.manifo.com","strona WWW:","94 311 72 64","ks. Andrzej Korpusik","8.00, 9.30, 11.00, 12.15 (IX-VI), 18.00; ","7.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=24"
"Kościół św. Kazimierza","Karwin 24, 78-230 Karlino","dekanat:","strona WWW:","kom. 604 956 716","ks. Mirosław Długosz","12.15; ","według ogłoszenia","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=73"
"Kościół Matki Bożej Różańcowej","ul. Mickiewicza 6, 77-230 Kępice","www.kepice.koszalin.opoka.org.pl","kepice@koszalin.opoka.org.pl","59 857 69 60","ks. Józef Bagniewski","8.00, 10.00, 12.00, 18.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=144"
"Kościół św. Jana Chrzciciela","ul. Gminna 10, 78-552 Kluczewo","dekanat:","strona WWW:","94 375 89 16","ks. Piotr Kaczmarek","12.00; ","poniedziałek-środa, piątek-sobota 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=149"
"Kościół św. Apostołów Piotra i Pawła","Kłanino 10, 78-020 Bobolice","www.klanino.bobolice.pl","klanino@prokonto.pl","94 318 73 72","ks. Mariusz Kałas","8.30, 13.00; ","wtorek-piątek 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=35"
"Kościół Najświętszego Serca Pana Jezusa","ul. Główna 65, 76-251 Kobylnica","www.salezjaniekobylnica.pl","strona WWW:","59 842 90 29","ks. Wojciech Pettke SDB","7.15, 9.00, 10.30, 12.00, 18.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=176"
"Kościół Narodzenia Najświętszej Maryi Panny","ul. Kościelna 1, 77-220 Koczała","www.parafiakoczala.pl","parafiakoczala@vp.pl","59 857 42 09","ks. Józef Oleski","8.00, 11.30; ","17.00 (IV-IX 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=106"
"Kościół Miłosierdzia Bożego","ul. Mieszka I 5, 78-100 Kołobrzeg","www.milosierdzie-kolobrzeg.pl","milosierdzie.kolobrzeg@neostrada.pl","94 352 02 37","ks. Leszek Karpiuk","8.30, 10.00, 11.30, 18.00; ","7.00 (IX-VI), 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=90"
"Kościół Opieki Matki Bożej","ul. Radomska 1B, 78-100 Kołobrzeg","dekanat:","strona WWW:","94 352 28 81","","9.30; ","poniedziałek-środa 18.00, czwartek-sobota 8.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=250"
"Kościół Podwyższenia Świętego Krzyża","ul. Jedności Narodowej 68, 78-100 Kołobrzeg","www.franciszkanie.kolobrzeg.eu","strona WWW:","94 351 70 83","o. Mariusz Fałkowski OFMConv.","8.00, 10.00, 11.30, 13.00, 18.00 (V-VIII 19.00, VII-VIII dod. 20.30); ","8.00 (IX-IV), 7.00 (V-VIII), 18.00 (V-VIII 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=88"
"Kościół św. Macieja Apostoła","ul. Św. Macieja 3, 78-100 Kołobrzeg","dekanat:","strona WWW:","94 357 24 86","","9.00, 10.30; ","poniedziałek - piątek 17.00 (latem 18.00), sobota 9.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=234"
"Kościół św. Marcina","ul. Portowa 20, 78-100 Kołobrzeg","www.marcin.kolobrzeg.pl","strona WWW:","tel./fax: 94 354 80 69","ks. Ryszard Andruszko","7.30, 9.00, 10.30, 12.00, 17.00 (VII-VIII dodatkowo 19.00); ","17.00 (latem 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=91"
"Kościół św. Michała Archanioła","ul. Ostrobramska 1, 78-106 Kołobrzeg","www.podczele.koszalin.opoka.org.pl","podczele@koszalin.opoka.org.pl","94 354 35 10","ks. Tomasz Szugalski","9.30, 11.00, 12.30 (IX-VI), 18.00 (VII-VIII dod. 8.00, 20.00); ","18.00 (VII-VIII19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=92"
"Kościół św. Wojciecha","ul. św. Wojciecha 7, 78-100 Kołobrzeg","www.wojciech.kolobrzeg.pl","wojciech.kolobrzeg@koszalin.opoka.org.pl","94 351 05 15","ks. Janusz Rajkowski","8.00, 9.30, 11.00, 12.30, 18.00 (VII-VIII 19.00); ","18.00 (VII-VIII 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=89"
"Kościół Wniebowzięcia Najświętszej Maryi Panny","ul. Mariacka 5, 78-100 Kołobrzeg","www.bazylika.kolobrzeg.pl","parafia@bazylika.kolobrzeg.pl","94 354 83 79 - proboszcz, 94 354 83 76 - zakrystia, 94 352 61 50 - biuro",", 94 354 83 76 - zakrystia, 94 352 61 50 - biuro","7.00, 8.30, 10.00, 11.30, 13.00, 17.00, 19.00 (VII-VIII dod. 16.00, 20.00); ","7.00, 8.00, 17.00, 19.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=87"
"Kościół Chrystusa Króla","ul. Kościelna 7, 78-132 Grzybowo","dekanat:","grzybowo@marianie.pl","94 358 12 33","ks. Grzegorz Belczak MIC","8.45, 12.00; ","środa, piątek 17.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=93"
"Kościół bł. Matki Teresy z Kalkuty","Staszica 38, 75-499 Koszalin","dekanat:","strona WWW:","kom. 789 414 653","ks. Jarosław Krylik","8.00, 12.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=238"
"Kościół Ducha Świętego","ul. Staszica 38, 75-499 Koszalin","www.koszalin-duch.pl","strona WWW:","94 345 43 33 - kancelaria, 94 345 41 11 - wikariusze","ks. Kazimierz Bednarski","7.00, 9.00, 10.30, 12.00, 13.30, 15.00 (IX-VI), 16.30, 18.00 (VII-VIII dod. 19.30); ","7.00, 7.30, 12.00, 18.00 (w I piątek m-ca dod. 9.00, 16.30, 24.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=98"
"Kościół Niepokalanego Poczęcia Najświętszej Maryi Panny","ul. Bolesława Chrobrego 7, 75-063 Koszalin","www.katedrakoszalin.pl","parafia@katedra.koszalin.pl","94 342 23 97 - proboszcz, 94 347 10 06 - kancelaria, kom. 532 280 075 - ksiądz dyżurny",", 94 347 10 06 - kancelaria, kom. 532 280 075 - ksiądz dyżurny","7.00, 8.30, 10.00, 11.30, 13.00, 16.00, 19.00 (VII-VIII dod. 20.30); ","6.30, 7.00, 9.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=96"
"Kościół Podwyższenia Krzyża Świętego","ul. Franciszkańska 1, 75-247 Koszalin","www.koszalinfranciszkanie.pl","koszalin@franciszkanie.gdansk.pl","94 346 82 72, 94 348 02 92","o. Piotr Pawlik OFMConv.","7.00, 8.30, 10.00, 11.30, 13.00, 18.00, (VII-VIII 20.00; ","6.30, 8.00, 12.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=97"
"Kościół św. Ignacego z Loyoli","ul. Teligi 15-17, 75-257 Koszalin","parafiaignacego.pl","koszalin@parafiaignacego.pl","94 347 70 69","ks. Henryk Koszper","7.00, 8.30, 10.00, 11.30, 13.00 (IX-VI), 18.30; ","7.00 (IX-VI, Adwent 6.30), 18.30","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=102"
"Kościół św. Józefa Rzemieślnika","ul. Łużycka 12A, 75-838 Koszalin","www.swjozefrzem-koszalin.pl","strona WWW:","94 342 29 06","ks. Tadeusz Kanthak","7.00, 8.30, 10.30, 12.00, 17.00 (VII-VIII dod. 20.00); ","7.00, 17.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=100"
"Kościół św. Kazimierza","ul. Poiełuszki 2, 75-410 Koszalin","www.parafiakazimierz.koszalin.pl/","strona WWW:","94 345 82 44 - proboszcz, 94 345 82 88, 94 345 86 88 - wikariusze",", 94 345 82 88, 94 345 86 88 - wikariusze","7.30, 9.00, 10.30, 12.00, 14.00, 16.00 (IX-VI), 18.30; ","7.30 (IX-VI), 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=101"
"Kościół św. Marcina","ul. Zwycięstwa 202A, 75-611 Koszalin","www.swmarcin.com.pl","strona WWW:","261 457 599","ks. Andrzej Stawarz","7.30, 9.00, 10.30, 12.00, 16.30, 18.00; ","7.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=103"
"Kościół św. s. Faustyny Kowalskiej","Piłsudskiego 92, 75-902 Koszalin","dekanat:","strona WWW:","94 344 40 27, fax: 94 445 53 74","ks. Lucjan Dolny","8.30, 10.00, 11.30; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=235"
