"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia pw. św. Jana Chrzciciela","","Bogdaniec","ul. Mickiewicza 7, 66-450 Bogdaniec","","","95-751-00-38 ","ks. Gabriel STOŻEK ","BOGDANIEC – pw. św. Jana Chrzciciela (8:30, 13:00) JENINIEC – kaplica pw. Najświętszego Serca Pana Jezusa (18:00 - sobota) PODJENIN – pw. Wniebowzięcia NMP (10:00) WŁOSTÓW – pw. św. Józefa (11:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/687-bogdaniec-parafia-pw-sw-jana-chrzciciela"
"Parafia pw. św. Teresy od Dzieciątka Jezus","","Bojadła","ul. Kościelna 37, 66-130 Bojadła","","","68-352-33-18","ks. Stanisław SZURA ","BOJADŁA – pw. św. Teresy od Dzieciątka Jezus (9:00, 13:00; od V do X: 8:00, 12:00) PYRNIK – pw. Wniebowzięcia NMP (11:00; od V do X: 10:00) * BEŁCZE – kaplica w Domu Pomocy Społecznej (16:00 - sobota)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/782-bojadla-parafia-pw-sw-teresy-od-dzieciatka-jezus"
"Parafia pw. św. Wawrzyńca","","Borów Wielki","Borów Wielki 56, 67-124 Nowe Miasteczko","","","68-388-89-15 ","ks. Jan GÓRSKI ","BORÓW WIELKI – pw. św. Wawrzyńca (17:00 - sobota, 11:00) SIECIEBORZYCE – pw. MB Częstochowskiej (9:00, 13:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/698-borow-wielki-parafia-pw-sw-wawrzynca"
"Parafia pw. Zwiastowania Najświętszej Maryi Panny","","Bożnów","Bożnów 65, 68-100 Żagań,","","","68-360-66-92","ks. kan. mgr Jan CIESIELSKI ","BOŻNÓW – pw. Zwiastowania NMP 9:00, 12:00 CHROBRÓW – pw. św. Augustyna 10:30","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/650-boznow-parafia-pw-zwiastowania-najswietszej-maryi-panny"
"Parafia pw. Wszystkich Świętych","","Brody","ul. Traugutta 3, 68-343 Brody","","","68-371-39-66 ","ks. mgr Sławomir GRAMZA ","BRODY – pw. Wszystkich Świętych (18:00 - sobota, 11:00) BIECZ – pw. MB Częstochowskiej (12:30) KOŁO – pw. Narodzenia NMP (9:30) ZASIEKI – pw. MB Królowej Polski (8:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/715-brody-parafia-pw-wszystkich-swietych"
"Parafia pw. Imienia Najświętszej Maryi Panny","","Brójce Lubuskie","ul. Polna 3, 66-304 Brójce Lub.","","parafia.brojce@tlen.pl","/fax 95-743-40-04, kom. 604-600-243","ks. mgr Paweł BRYK ","BRÓJCE LUBUSKIE – pw. Imienia NMP (8:00, 13:00); BRÓJCE LUBUSKIE – pw. św. Michała Archanioła; ŁAGOWIEC – pw. św. Jana Chrzciciela (10:00); PANOWICE – pw. NMP Rokitniańskiej (11:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/561-brojce-lubuskie-pw-imienia-najswietszej-maryi-panny"
"Parafia pw. św. Anny","","Broniszów","Broniszów 29, 67-120 Kożuchów","","","68-388-18-24 ","ks. kan. Jan MAKOWSKI ","BRONISZÓW – pw. św. Anny (12:00) JAROGNIEWICE – pw. św. Antoniego (13:15) KAMIONKA – pw. Miłosierdzia Bożego (10:45) URZUTY – pw. Narodzenia NMP (9:30) RADWANÓW – pw. MB Fatimskiej (19:00 - sobota)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/699-broniszow-parafia-pw-sw-anny"
"Parafia pw. Bożego Ciała","","Brzeg Głogowski","Brzeg Głogowski 59, Brzeg Głogowski, 67-232 Żukowice","","","76 831-41-21","ks. Edward Białas ","Brzeg Głogowski – 8:00, 11:00; Dobrzejowice – 12:15; Kromolin – 9:30.","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/68-brzeg-glogowski-parafia-pw-bozego-ciala"
"Parafia pw. św. Marii Magdaleny","","Brzeźnica","ul. Zielonogórska 25, 68-113 Brzeźnica","","","68-377-16-77","ks. mgr Andrzej NOWAKOWSKI ","BRZEŹNICA – pw. św. Marii Magdaleny 8:00, 12:45 MARCINÓW – Eucharystia sprawowana w sali wiejskiej 19:00 - sobota STANÓW – pw. św. Mikołaja 9:15","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/651-brzeznica-parafia-pw-sw-marii-magdaleny"
"Parafia pw. świętych Apostołów Piotra i Pawła","","Bytnica","66-22 Bytnica 74","www.parafiabytnica.zgora-gorzow.opoka.org.pl","parafiabytnica@zgora-gorzow.opoka.org.pl?subject=ze%20strony%20www","68-391-57-15 odwiedź stronę www Ten adres pocztowy jest chroniony przed spamowaniem. Aby go zobaczyć,...","ks. lic. mgr Sławomir STRZYŻYKOWSKI ","BYTNICA – pw. św. Ap. Piotra i Pawła (8:30, 13:00) BUDACHÓW – pw. św. Józefa (10:00) DOBROSUŁÓW – pw. Chrystusa Króla (11:30) GRABIN – pw. św. Jana Chrzciciela (8:30) GRYŻYNA – kaplica pw. Podwyższenia Krzyża Świętego (10:00) STRUGA – kaplica pw. Miłosierdzia Bożego (11:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/706-bytnica-parafia-pw-swietych-apostolow-piotra-i-pawla"
"Parafia pw. św. Hieronima","","Bytom Odrzański","ul. św. M. Kolbe 1, 67-115 Bytoul. św. M. Kolbe 1, 67-115 Bytom Odrz.","parafiabytomodrzanski.pl","parafiabytom@op.pl?subject=ze%20strony%20www","68-388-40-24 odwiedź stronę www Ten adres pocztowy jest chroniony przed spam...","ks. mgr Ireneusz ŁUCZAK ","BYTOM ODRZ. – pw. św. Hieronima (8:00, 10:30, 12:00, 17:00) * WIERZBNICA – liturgia sprawowana w świetlicy wiejskiej (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/700-bytom-odrzanski-parafia-pw-sw-hieronima"
"Parafia pw. św. Jana Chrzciciela","","Chichy","Bobrzany 88, 67-320 Małomice","","","68-376-90-71","ks. Adam BRZDĘK ","CHICHY – pw. św. Jana Chrzciciela (8:00, 11:00) WITKÓW – pw. MB Rokitniańskiej i św. Michała (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/804-chichy-parafia-pw-sw-jana-chrzciciela"
"Parafia pw. św. Józefa Oblubieńca Najświętszej Maryi Panny","","Chlebowo","Chlebowo 62, 66-620 Gubin","","","68-383-18-16 ","ks. Zbigniew NIDECKI ","CHLEBOWO – pw. św. Józefa Oblub. (17:00 lub 18:00 - sobota, 9:00) CZARNOWO – pw. Wniebowstąpienia Pańskiego (11:30) ŁOMY – kaplica pw. Miłosierdzia Bożego (8:00) WĘŻYSKA – pw. MB Szkaplerznej (1000, 18:00 lub 17:00) KOSARZYN (10:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/681-chlebowo-parafia-pw-sw-jozefa-oblubienca-najswietszej-maryi-panny"
"Parafia pw. św. Jana Chrzciciela","","Chociszewo","Chociszewo 44, 66-304 Brójce","","","95-743-48-39","ks. Stanisław STEFAŃCZYK ","CHOCISZEWO – pw. św. Jana Chrzciciela (12:00); LUTOL SUCHY – pw. świętych Apostołów Piotra i Pawła (10:30); ROGOZINIEC – pw. św. Józefa (9:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/562-3-chociszewo-pw-sw-jana-chrzciciela"
"Parafia pw. Narodzenia Najświętszej Maryi Panny","","Chotków","ul. Zielonogórska 25, 68-113 Brzeźnica","","","68-377-16-77","ks. mgr Andrzej NOWAKOWSKI ","CHOTKÓW – pw. Narodzenia NMP 11:30 WRZESINY – pw. św. Jana Chrzciciela 10:30","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/653-chotkow-parafia-pw-narodzenia-najswietszej-maryi-panny"
"Parafia pw. św. Alberta Chmielowskiego","","Cibórz","Cibórz 62, 66-213 Skąpe","","","68-341-94-50, 68-341-94-55, 68-341-95 50 wew. 223","ks. mgr Marek OLSZAŃSKI ","CIBÓRZ – pw. św. Alberta Chmielowskiego (8:00, 13:00) MIĘDZYLESIE – pw. św. Jana Chrzciciela (1100) ZAWISZE – kaplica pw. św. Maksymiliana Kolbe (10:00) PODŁA GÓRA – kaplica pw. Matki Bożej Fatimskiej (17:00 - sobota)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/823-ciborz-parafia-pw-sw-alberta-chmielowskiego"
"Parafia pw. św. Michała Archanioła","","Cigacice","pl. Szkolny 12, 66-131 Cigacice","","","68-385-12-32","ks. kan. Jerzy FILIPKOWSKI ","1. CIGACICE – pw. św. Michała Archanioła (8:00, 10:00, 12:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/784-cigacice-parafia-pw-sw-michala-archaniola"
"Parafia pw. św. Michała Archanioła","","Ciosaniec","Ciosaniec 112, 67-410 Sława","","","68-356-76-07","ks. mgr Dariusz CHMIST ","CIOSANIEC – pw. św. Michała Arch. (18:00 - sobota, 8:30) ŚWIĘTNO – pw. św. Stanisława Kostki (10:30, 13:15) WILCZE – pw. św. o. Pio (12:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/767-ciosaniec-parafia-pw-sw-michala-archaniola"
"Parafia pw. Matki Bożej Częstochowskiej","","Cybinka","ul. Chopina 2, 69-108 Cybinka","","","68-391-13-19, 68-391-01-47","ks. kan. Stanisław PAWUL ","CYBINKA – pw. MB Częstochowskiej (18:00 - sobota, 9:00, 12:00, 16:00) DRZENIÓW – pw. św. Jana Chrzciciela (12:00) GĘSTOWICE – pw. Wniebowzięcia NMP (10:45) RZECZYCA – pw. św. Stanisława Bpa (18:30 - sobota) SĄDÓW – pw. św. Antoniego (8:00) URAD – pw. Narodzenia NMP (10:30) * MACZKÓW – Eucharystia sprawowana w stanicy harcerskiej (16:00, w VII i VIII: sobota 17:00) * SKARBONA – zaadaptowana sala wiejska (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/758-cybinka-parafia-pw-matki-bozej-czestochowskiej"
"Parafia pw. Matki Bożej Szkaplerznej","","Czarnów","ul. Stańska 6, Czarnów, 69-113 Górzyca","","","95-759-12-82 ","ks. Piotr FRANEK ","CZARNÓW – pw. MB Szkaplerznej (12:30) STAŃSK – pw. św. Józefa Robotnika (9:30) SPUDŁÓW – zaadaptowane pomieszczenie klubu (14:00) ŻABICE – pw. Najświętszego Serca Pana Jezusa (11:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/688-czarnow-parafia-pw-matki-bozej-szkaplerznej"
"pw. św. Wojciecha","","Czerwieńsk","ul. ks. Ludwika Muchy 1, 66-016 Czerwieńsk","www.parafia.czerwiensk.hadom.pl","","68-327-82-18 odwiedź stronę www","ks. kan. mgr Marek KIDOŃ ","CZERWIEŃSK – pw. św. Wojciecha 7:50, 11:00, 13:00, 19:00; ŁĘŻYCA – pw. MB Fatimskiej 9:30; NIETKÓW – pw. Wniebowstąpienia Pana Jezusa 9:30, 13:15","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/636-czerwiensk-pw-sw-wojciecha"
"Parafia pw. Niepokalanego Poczęcia Najświętszej Maryi Panny i św. Jakuba Apostoła","","Dąbrówka Wlkp.","ul. Mała 11, 66-311 Dąbrówka Wlkp.","","","68-384-01-76","ks. kan. Stanisław JEDLIŃSKI ","DĄBRÓWKA WLKP. – pw. Niepokalanego Pocz. NMP (18:00 - sobota, 8:00, 10:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/610-dabrowka-wlkp-parafia-pw-niepokalanego-poczecia-najswietszej-maryi-panny-i-sw-jakuba-apostola"
"Parafia pw. św. Jadwigi","","Dębowa Łęka","","","","65-540-61-85","ks. Zbigniew GARBAREK ","DĘBOWA ŁĘKA – pw. św. Jadwigi (17:00 - sobota, 10:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/830-debowa-leka-parafia-pw-sw-jadwigi"
"Parafia pw. Podwyższenia Krzyża Świętego","","Deszczno","Deszczno 61, 66-446 Deszczno","","","095 751-32-38 Historia parafii Do reformacji miejscowy kościół podlegał biskupstwu poznańskiemu. Po...","ks. Janusz Drgas ","Deszczno - 8:00, 12:30; Glinik - 9:30; Krasowiec - 9:30; Bolemin - 9:30, 11:30; Kiełpin - 8:30; Krasowiec - 10:30; Karnin -11:00","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/100-deszczno-parafia-pw-podwyzszenia-krzyza-swietego"
"Parafia pw. św. Józefa","","Dobiegniew","ul. Staszica 6, 66-520 Dobiegniew","","","95-761-10-11, fax. 95-763-94-08","ks. kan. mgr Piotr SPYCHAŁA ","DOBIEGNIEW – pw. św. Józefa (7:30) DOBIEGNIEW – pw. Chrystusa Króla (8:30, 10:00, 11:30, 18:00) CHOMĘTOWO – pw. Dzieciątka Jezus (10:30) MIERZĘCIN – pw. Wniebowzięcia NMP (9:00) SŁONÓW – pw. MB Różańcowej (12:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/777-dobiegniew-parafia-pw-sw-jozefa"
"Parafia pw. Wniebowstąpienia Pańskiego","","Drągowina","66-012 Drągowina 17","","","68-327-66-02 ","ks. Krzysztof COCHŁA ","DRĄGOWINA – pw. Wniebowstąpienia Pańskiego (10:00, 13:00) KACZENICE – kaplica pw. św. Antoniego Padewskiego (8:00) KOTOWICE – pw. MB Szkaplerznej (9:00) NIWISKA – pw. MB Różańcowej (9:00) PRZYBYMIERZ – pw. Wniebowzięcia NMP (8:00) SKIBICE – pw. św. Marcina (11:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/716-dragowina-parafia-pw-wniebowstapienia-panskiego"
"Parafia  pw. Najświętszego Serca Pana Jezusa","","Drezdenko","ul. Niepodległości 41 66-530 Drezdenko","","","95-762-95-90","ks. Zdzisław PALUS CRL ","DREZDENKO – pw. Najśw. Serca Pana Jezusa 8:00, 11:15; LUBIEWO – pw. MB Szkaplerznej 9:30 STARE BIELICE – kaplica pw. św. Józefa 13:00","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/619-drezdenko-parafia-pw-najswietszego-serca-pana-jezusa"
"Parafia  pw. Przemienienia Pańskiego","","Drezdenko","pl. Kościelny 2, 66-530 Drezdenko","","","95-762-05-15","ks. Wojciech ĆWIĘKAŁA CRL","DREZDENKO – pw. Przemienienia Pańskiego 8:30, 10:00, 11:30, 18:00; DREZDENKO – pw. MB Różańcowej 7:00; DREZDENKO – kaplica w Szpitalu Miejskim 6:30","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/618-drezdenko-parafia-pw-przemienienia-panskiego"
"Parafia pw. Podwyższenia Krzyża Świętego","","Drożków","Drożków 37, 68-200 Żary","","","607-56-50-70","ks. Robert DECKER ","DROŻKÓW – pw. Podwyższenia Krzyża Świętego 18:00 - sobota, 9:30); LUBANICE – pw. MB Różańcowej 8:00, 11:30","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/648-drozkow-parafia-pw-podwyzszenia-krzyza-swietego"
"Parafia pw. Miłosierdzia Bożego","","Dychów","Dychów 46b, 66-627 Bobrowice","http//:www.parafiadychow.zgora.pl","pardych@parafiadychow.zgora.pl?subject=ze%20strony%20www","68-383-11-66 odwiedź stronę www Ten adres pocztowy jest chroniony przed spamowaniem. Aby go zobacz...","ks. Marek KOWAL ","DYCHÓW – pw. Miłosierdzia Bożego (8:00, 11:00) BRONKÓW – pw. MB Szkaplerznej (9:30) BRZÓZKA – pw. NMP Królowej Polski (12:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/707-dychow-parafia-pw-milosierdzia-bozego"
"Parafia pw. św. Jana Chrzciciela","","Dzietrzychowice","Dzietrzychowice 82, 68-111 Miodnica","","","68-360-71-41","ks. Jarosław PAPROCKI ","DZIETRZYCHOWICE – pw. św. Jana Chrzciciela 18:00 - sobota, 12:30; GORZUPIA – pw. św. Jerzego 11:00; KARCZÓWKA – pw. MB Bolesnej 8:00; MIODNICA – pw. Podwyższenia Krzyża Świętego 16:00 - sobota, 9:30","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/652-dzietrzychowice-parafia-pw-sw-jana-chrzciciela"
"Parafia pw. Matki Bożej Bolesnej","","Dzikowice","Dzikowice 78, 67-300 Szprotawa","","","68-376-37-02","ks. Przemysław KAMINIARZ ","DZIKOWICE – pw. MB Bolesnej (12:00) BOROWINA – pw. św. Bartłomieja (8:00) GOŚCIESZOWICE – pw. św. Katarzyny (10:30) PASTERZOWICE – kaplica w zaadaptowanej świetlicy wiejskiej (9:15)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/805-dzikowice-parafia-pw-matki-bozej-bolesnej"
"Parafia pw. Matki Bożej Różańcowej","","Długoszyn","Długoszyn 10, 69-200 Sulęcin","","","95-755-21-72","ks. Jan PODEDWORNY ","DŁUGOSZYN – pw. Matki Bożej Różańcowej (11:30) BRZEŹNO – pw. św. Antoniego (10:00) DROGOMIN – pw. św. Wojciecha (830) TRZEBÓW – pw. świętych Apostołów Piotra i Pawła (13:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/796-dlugoszyn-parafia-pw-matki-bozej-rozancowej"
"Parafia pw. Matki Bożej Bolesnej","","Gądków Wielki","ul. Kościuszki 40, Gądków Wielki, 66-235 Torzym","","","68-341-44-13","ks. Edward BISKUPSKI ","GĄDKÓW WIELKI – pw. MB Bolesnej (8:00, 11:00) DEBRZNICA – pw. Macierzyństwa NMP (18:00 -sobota, 9:30 - na przemian z Gądkowem Małym) GĄDKÓW MAŁY – pw. Niepokalanego Poczęcia NMP (18:00 - sobota, 9:30) RADZIKÓW – pw. MB Królowej Polski (13:00) TRZEBIECHÓW – pw. MB Łaskawej (18:15)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/759-gadkow-wielki-parafia-pw-matki-bozej-bolesnej"
"Parafia pw. św. Barbary","","Gaworzyce","","","","076 31-62-25 ","ks. Lech Świdziniewski ","Gaworzyce – 8:00, 13:00, 18:00; Nowa Jabłona – 9:30.","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/67-gaworzyce-parafia-pw-sw-barbary"
"Parafia pw. Trójcy Świętej","","Goraj","Goraj 23, 66-342 Goraj","","paragora@o2.pl?subject=ze%20strony%20www","95-749-34-76 Ten adres pocztowy jest chroniony przed spamowaniem. Aby go zobaczyć, konieczne jest włącze...","ks. Józef RUSIN ","GORAJ – pw. Trójcy Świętej (12:00) KROBIELEWO – pw. Niepokalanego Poczęcia NMP (13:30) STRYCHY – pw. św. Jana Chrzciciela (10:30) WIERZBNO – pw. św. Mikołaja (9:15) * LUBIKOWO – pw. Niepokalanego Poczęcia NMP (9:30, w wakacje 10:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/751-goraj-parafia-pw-trojcy-swietej"
"Parafia pw. Niepokalanego Poczęcia Najświętszej Maryi Panny","","Górki Noteckie","ul. Santocka 26, 66-542 Górki Noteckie","","","95-761-81-27","ks. Wiesław MERCHUT ","GÓRKI NOTECKIE – pw. Niepokalanego Poczęcia NMP (8:00, 13:00) GÓRECKO – pw. św. Stanisława Bpa (11:30) PRZYŁĘG – pw. Najświętszego Serca Pana Jezusa (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/780-gorki-noteckie-parafia-pw-niepokalanego-poczecia-najswietszej-maryi-panny"
"Parafia pw. Chrystusa Króla","","Gorzów Wielkopolski","ul. Woskowa 1b, 66-400 Gorzów Wielkopolski","www.chrystuskrolgorzow.parafia.info.pl","","95 720-70-35 odwiedź stronę www » Historia parafii Początki duszpasterstwa sięgają 19...","ks. Jerzy Piasecki ","Gorzów Wlkp. (Chrystusa Króla) – 7:30, 9:30, 11:00, 12:30, 18:00.","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/101-gorzow-wielkopolski-parafia-pw-chrystusa-krola"
"Parafia pw. Matki Bożej Różańcowej","","Gorzów Wielkopolski","ul. Strażacka 104 b, 66-400 Gorzów Wielkopolski","www.mbroznancowa.parafia.info.pl/","","95 723-81-16 odwiedź stronę www ","ks. Eugeniusz Drzewiecki ","Gorzów Wlkp. (MB Róż.) – 8:00, 12:30; Ciecierzyce – 9:30; Osiedle Pozn. – 11:00","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/102-gorzow-wielkopolski-parafia-pw-matki-bozej-rozancowej"
